Year,rnase,serotonin,BLAST,genetic algorithm,Epidemiology,mouse,FACS,Mononucleosis,Prefrontal cortex,paleocortex,neutrotransmitter,epinephrine,nanopore,RNA,Histamine,dopamine,cocaine,fMRI,gene therapy,cannabis,connectome,savant,homeopathy,substance P,ribozyme,lateral ventricles,autism,neuropeptide,microglia,machine learning,SNP,natural medicine,GABA,DNA array,ribosome,BRCA1,stem cells,EEG,soy milk,inflammatory,prion,glycine,NGS,autoimmune,glutamate,archaea,perceptron,Drug repurposing,antibiotic,illumina,lipid,genetic engineering,influenza
1956,48.59086491739553,167.2647080810346,18.68879419899828,0,1468.004784331315,828.8480227255737,0,69.14853853629364,4.67219854974957,365.3659265904164,0,312.1028631232713,0,134.55931823278763,425.1700680272109,3.7377588397996564,15.885475069148539,0.9344397099499141,29.90207071839725,1.8688794198998282,0,0.9344397099499141,12.147716229348882,13.082155939298797,0.9344397099499141,9.34439709949914,4.67219854974957,715.7808178216342,0.9344397099499141,0,0,23.36099274874785,5.606638259699484,0.9344397099499141,5.606638259699484,0,19.623233908948198,531.6961949615011,0.9344397099499141,171.00246692083428,1.8688794198998282,99.98504896464081,0,28.03319129849742,125.21492113328847,3.7377588397996564,0,0,3642.4459893847647,0,1802.534200493384,22.426553038797937,389.66135904911414
1957,46.62464471124102,225.95020129293724,11.656161177810255,0,1427.431430390302,899.3176662572067,0,61.8673170206852,0.8966277829084812,390.9297133480978,0,337.13204637358893,0,93.24928942248204,378.37692438737906,5.379766697450887,8.069650046176331,0,32.278600184705326,0.8966277829084812,0,0,15.24267230944418,2.6898833487254437,0,8.069650046176331,8.966277829084811,608.8102645948587,0.8966277829084812,0.8966277829084812,0,12.552788960718738,7.17302226326785,0.8966277829084812,1.7932555658169624,0,22.41569457271203,444.72738032260673,2.6898833487254437,169.46265096970293,0,93.24928942248204,0,47.52127249414951,163.18625648934358,7.17302226326785,0,0,3486.088819948175,0,1873.9520662787259,23.31232235562051,556.8058531861668
1958,51.156035041883996,216.4996483022591,7.3080050059834285,0,1406.79096365181,933.597639514383,0,55.72353817062365,0.9135006257479286,371.794754679407,0,345.30323653271705,0,128.80358823045793,359.91924654468386,8.221505631731358,18.270012514958573,0,36.540025029917146,3.6540025029917143,0,1.8270012514958571,15.529510637714788,4.567503128739643,0,6.3945043802354995,9.135006257479287,517.0413541733276,1.8270012514958571,0,0,20.09701376645443,19.183513140706502,0,3.6540025029917143,0,31.9725219011775,544.4463729457655,0,201.88363829029225,0,87.69606007180114,0,37.453525655665075,163.5166120088792,3.6540025029917143,0.9135006257479286,0,3210.954699503969,0,2027.0578885346536,30.145520649681647,759.1190199965287
1959,66.36363636363636,239.09090909090912,11.818181818181818,0,1206.3636363636363,1130.909090909091,0,52.72727272727273,2.7272727272727275,385.4545454545455,0,306.3636363636363,0,196.36363636363635,370,9.09090909090909,17.272727272727273,1.8181818181818181,44.54545454545454,6.363636363636364,0,0.9090909090909091,12.727272727272728,8.181818181818182,0,6.363636363636364,3.6363636363636362,497.27272727272725,0.9090909090909091,0,0,25.454545454545457,29.09090909090909,0,3.6363636363636362,0,34.54545454545455,510.90909090909093,2.7272727272727275,185.45454545454547,0,83.63636363636364,0,57.27272727272727,191.8181818181818,0.9090909090909091,0,0,2888.181818181818,0,2183.6363636363635,32.72727272727273,528.1818181818181
1960,55.24763415373099,277.1292616421023,10.69309048136729,0,1261.78467680134,1110.2992283153037,0,52.57436153338918,3.5643634937890964,386.733439076117,0.8910908734472741,257.5252624262622,0,227.2281727290549,425.9414375077971,10.69309048136729,16.93072659549821,1.7821817468945482,61.48527026786192,5.346545240683645,0,0,10.69309048136729,9.801999607920015,0,10.69309048136729,4.455454367236371,509.70397961184085,0.8910908734472741,0,0,34.75254406444369,35.643634937890965,0.8910908734472741,18.712908342392755,0,32.07927144410187,462.47616331913525,0,190.69344691771667,0,58.811997647520094,0,66.83181550854556,164.85181158774571,3.5643634937890964,0,0,2742.77770847071,0,2200.994457414767,35.643634937890965,360.0007128726987
1961,69.0630720585788,290.39773672824094,40.77217507072724,0,1253.1203195207188,1180.72890664004,0.8320852055250457,45.76468630387752,0,415.21051755699784,0,267.0993509735397,0,315.3602928939923,376.1025128973207,13.313363288400732,24.962556165751376,0.8320852055250457,46.596771509402565,6.656681644200366,0,0,19.9700449326011,10.817107671825596,0,8.320852055250457,10.817107671825596,468.46397071060073,1.6641704110500914,0,0,27.458811782326514,36.611749043102016,0.8320852055250457,44.100515892827424,0,33.28340822100183,500.0832085205525,1.6641704110500914,183.8908304210351,0,64.90264603095358,0,86.53686137460477,150.60742220003328,2.4962556165751373,0,0,2764.187052754202,0,2273.256781494425,27.458811782326514,294.55816275586625
1962,100.2434483746241,323.802249908508,18.298407242986936,0,816.2680796219389,1207.6948780371376,0,71.6024631247315,0,464.62042738714655,0,334.14482791541366,0,474.16742247044414,369.15047655417123,27.049819402676338,25.458653555460085,3.1823316944325106,42.96147787483889,7.955829236081277,0,0,25.458653555460085,7.160246312473149,0,3.9779146180406384,6.364663388865021,556.9080465256893,3.1823316944325106,0.7955829236081277,0,45.348226645663274,54.895221728960806,0,70.80688020112336,0,39.779146180406386,535.4273075882699,2.386748770824383,189.34873581873438,0.7955829236081277,112.97277515235415,0,132.0667653189492,194.91781628399127,2.386748770824383,3.1823316944325106,0,3019.2371950928446,0,2460.737982719939,26.254236479068215,278.45402326284466
1963,138.47675568743819,388.58273279638263,13.423767132965946,0,1146.6723187791438,2344.920163911262,0,70.65140596297867,3.532570298148933,667.6557863501483,0,565.2112477038294,0,894.4467994913099,563.0917055249399,71.35792002260845,62.17323724742122,4.945598417408506,26.84753426593189,7.065140596297866,0,0.7065140596297866,32.499646742970185,11.304224954076586,0,5.652112477038293,14.130281192595731,1085.2055955913522,2.8260562385191466,0,0,132.82464321039987,34.619188921859546,0,98.91196834817012,0,31.08661862371061,833.6865903631483,2.8260562385191466,224.67147096227217,0,165.32428995337006,0,238.8017521548679,262.11671612265087,4.945598417408506,0,0,4102.020630210542,0,3235.1278790447927,23.31496396778296,498.79892609862935
1964,244.89544136697305,436.740484855962,13.571032015298254,0,2310.1597680587256,3093.578434396398,0.6168650916044661,74.6406760841404,3.701190549626797,755.0428721238665,0,730.3682684596879,0,1156.622046758374,606.3783850471901,86.36111282462525,67.85516007649127,17.889087656529515,27.142064030596508,10.486706557275925,0,1.8505952748133985,45.648016778730494,6.785516007649127,1.2337301832089322,7.402381099253594,33.31071494664117,1279.9950650792673,1.8505952748133985,2.4674603664178645,0,186.29325766454878,41.9468262291037,0,234.40873480969714,0,39.47936586268583,1080.7476404910246,4.934920732835729,246.74603664178642,0.6168650916044661,272.654370489174,0,347.9119116649189,347.9119116649189,4.934920732835729,0.6168650916044661,0,4364.320523101597,0,3714.14471655049,14.18789710690272,454.62957251249156
1965,213.87711684593492,297.61736365333803,24.89574905084957,0,2367.3594097444225,2787.758081216723,0,51.48893553698433,3.960687348998795,612.2091016595281,0,468.49273213871464,0,1076.1753339708155,437.37304582515264,71.2923722819783,54.31799792912633,16.974374352851978,27.724811442991566,9.052999654854387,0,1.6974374352851977,33.948748705703956,3.3948748705703955,0.5658124784283992,6.223937262712393,19.237624266565575,798.9272195408998,2.263249913713597,0.5658124784283992,0,92.22743398382909,35.08037366256075,1.1316249568567984,255.74724024963646,0,19.803436744993974,815.3357814153233,4.526499827427194,243.86517820264007,7.92137469799759,205.95574214793731,0,305.5387383513356,329.86867492375677,6.223937262712393,0.5658124784283992,0,3364.88680921369,0,3041.242071552646,15.276936917566779,312.89430057090476
