Year,ultrasound AND (review[Publication Type]),crypto AND (review[Publication Type]),ancient bacteria AND (review[Publication Type]),blockchain AND (review[Publication Type]),ancient viruses AND (review[Publication Type]),covid AND (review[Publication Type]),buckyballs AND (review[Publication Type]),graph neural network AND (review[Publication Type]),crispr cas-9 AND (review[Publication Type]),language model AND (review[Publication Type]),carbon nanotubes AND (review[Publication Type]),hydrophonics AND (review[Publication Type]),synthetic biology AND (review[Publication Type]),aquaphonic agriculture AND (review[Publication Type])
1997,731.4959113274616,0,2.4076765483549,0,1.313278117284491,0,0.21887968621408183,0,0,19.48029207305328,0,0,12.476142114202665,91.49170883748621
1998,707.5377307817881,0,4.0021485218380395,0,2.106393958862126,0,0.4212787917724252,0,0,19.168185025645347,0,0.2106393958862126,8.425575835448504,75.83018251903653
1999,700.9090356933169,0,3.239325410483267,0,1.8221205433968377,0,0.20245783815520418,0,0,26.724434636486947,0,0.20245783815520418,11.742554613001843,109.12477476565505
2000,662.3896721283775,0.18775217463956276,5.44481306454732,0,2.4407782703143157,0.18775217463956276,0.751008698558251,0.18775217463956276,0,24.032278353864033,0.5632565239186883,0.3755043492791255,14.081413097967207,101.94943082928259
2001,642.2430479974873,0,5.113109281754235,0,1.2782773204385587,0,0.9130552288846848,0,0,26.29599059187892,0.3652220915538739,0.3652220915538739,10.22621856350847,92.58380020890704
2002,649.0291090439642,0.5305415060304884,5.482262228981714,0,2.1221660241219538,0,1.2379301807378065,0.35369433735365896,0,20.86796590386588,1.0610830120609769,0.17684716867682948,15.739398012237825,116.01174265200014
2003,681.677130934821,0.16819075522694818,4.877531901581498,0,3.8683873702198084,0.33638151045389636,2.8592428388581195,0,0,26.405948570630866,2.5228613284042227,0.16819075522694818,12.782497397248061,123.95658660226083
2004,727.302852158853,0,4.3766343994085295,0,2.1883171997042647,0,3.595092542371292,0.15630837140744747,0,31.261674281489494,4.3766343994085295,0.4689251142223424,13.286211569633034,122.85837992625372
2005,653.9129838849,0.14277576067355893,4.140497059533209,0,1.713309128082707,0,3.7121697775125324,0.14277576067355893,0,32.552873433571435,4.140497059533209,0.14277576067355893,15.562557913417923,112.50729941076443
2006,638.8017034712093,0.13333368888983704,5.333347555593481,0,1.4666705777882074,3.2000085333560886,5.6000149333731555,0.13333368888983704,0,37.60010026693404,6.533350755602015,0.2666673777796741,19.33338488902637,115.20030720081921
2007,684.0355683241065,0.12712052932988413,4.703459585205713,0,1.9068079399482618,0,8.771316523762005,0.25424105865976826,0,39.53448462159397,9.53403969974131,0.38136158798965236,20.466405222111344,113.89999427957618
2008,624.9029375574909,0.1194614677035922,5.6146889820688335,0,2.628152289479029,0,6.211996320586795,0.2389229354071844,0,31.657288941451935,6.331457788290387,0,16.24675960768854,115.51923926937367
2009,624.5819312241965,0,6.267470574225653,0,2.165126198368862,0,7.065148647308918,0.3418620313213993,0,34.52806516346133,7.748872709951718,0.11395401044046644,20.16985984796256,112.81447033606177
2010,604.121529167361,0,5.519999915076925,0,2.7599999575384624,0,14.64923054385799,0.4246153780828403,0,35.13692253635504,16.559999745230773,0.5307692226035504,24.2030765507219,116.8753828173018
2011,570.4346121809006,0.09799598216473125,5.585770983389681,0,2.5478955362830127,0,11.955509824097213,0.4899799108236563,0,32.82865402518497,14.895389289039148,0.1959919643294625,22.147091969229262,118.18315449066588
2012,593.4391394581978,0.09175002156125507,5.872001379920325,0,2.752500646837652,0.6422501509287855,9.450252220809272,0.5505001293675303,0,39.727759336023446,12.202752867646923,0.4587501078062754,32.47950763268429,126.89027981921575
2013,606.4411106898507,0.08695742912099953,5.56527546374397,0,2.6087228736299855,0,10.86967864012494,1.1304465785729938,0,45.565692859403754,14.261018375843923,0.26087228736299856,32.43512106213282,139.56667373920425
2014,626.0414325301015,0.08294136625994986,7.298840230875587,0,3.0688305516181447,0,7.547664329655436,1.2441204938992478,0.08294136625994986,45.700692809232365,11.44590854387308,0.4147068312997493,41.55362449623488,164.88743612478032
2015,624.8226065096355,0.07950408531742403,7.075863593250739,0,2.544130730157569,0,8.824953470234068,0.7950408531742403,0.07950408531742403,45.476336801566546,12.720653650787845,0.39752042658712017,47.86145936108927,185.48303104555026
2016,813.1574605329107,0.15565801311885735,9.261651780572011,0.07782900655942868,2.568357216461146,0,9.028164760893725,1.1674350983914301,0.3891450327971434,46.85306194877606,11.83000899703316,0.15565801311885735,51.05582830298521,226.09326405514028
2017,850.4008046011402,0.07671635585035094,7.518202873334392,0.2301490675510528,2.5316397430615813,0,8.515515499388954,1.6877598287077207,0.30686542340140377,47.027126136265125,13.04178049455966,0.15343271170070188,54.85219443300092,257.2299411662267
2018,789.3790218361556,0,7.327568979069798,0.4440950896405938,2.5165388412966987,0,7.179537282522934,0.740158482734323,0.6661426344608907,30.938624578294704,14.359074565045868,0.4440950896405938,55.80794959816796,277.5594310253711
2019,699.9247506703549,0,6.7123815176341335,1.41313295108087,2.82626590216174,0.5652531804323481,7.418947993174568,0.9185364182025656,0.6359098279863915,29.8877619153604,15.403149166781484,0.7772231230944785,62.88441632309871,294.6382203003614
2020,699.0698867808064,0.18370792399635769,7.838204757177928,2.38820301195265,3.2455066572689857,668.8805512707384,7.225845010523402,0.8573036453163357,0.3061798733272628,26.943828852799125,13.90056624905773,0.3061798733272628,66.25732458801967,358.10797984356657
2021,683.7576974165083,0.5071968414034925,6.255427710643075,3.0995362530213435,3.437667480623672,847.4132115760353,8.678701508459762,2.592339411617851,0.5635520460038806,34.32031960163633,17.751889449122242,0.39448643220271645,71.68382025169362,430.04656630556127
2022,579.4734222083769,0.4209759696392131,5.367443612899967,4.4202476812117375,2.736343802654885,712.0808526447289,8.209031407964655,2.736343802654885,0.7367079468686228,36.94064133584095,14.944646922192064,1.0524399240980327,70.7239628993878,454.2330712407109
