id,dbXRefs,ICD10,All_ICD_counts,f41202_ICD_counts,ICD10_all_freq
MONDO_0010857,G31.0,G31,53.0,17.0,0.010544829452305537
MONDO_0011530,Q78.8,Q78,3.0,0.0,0.0005968771388097474
MONDO_0012072,E88.1,E88,25.0,11.0,0.004973976156747895
MONDO_0012994,G24.1,G24,9.0,6.0,0.0017906314164292422
MONDO_0007626,H49.1,H49,61.0,37.0,0.012136501822464865
MONDO_0009001,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0009294,E74.0,E74,13.0,5.0,0.0025864676015089055
MONDO_0009833,D61.0,D61,19.0,8.0,0.0037802218791284
MONDO_0009933,Q33.8,Q33,3.0,1.0,0.0005968771388097474
MONDO_0011018,Q76.3,Q76,6.0,2.0,0.0011937542776194949
MONDO_0011227,Q87.1,Q87,14.0,2.0,0.002785426647778821
MONDO_0012638,Q11.2,Q11,5.0,0.0,0.000994795231349579
MONDO_0012648,E71.1,E71,2.0,1.0,0.0003979180925398316
MONDO_0012830,Q93.5,Q93,3.0,0.0,0.0005968771388097474
HP_0001881,R72,R72,333.0,29.0,0.06625336240788196
MONDO_0000110,Q30.2,Q30,1.0,1.0,0.0001989590462699158
MONDO_0003608,H47.2,H47,70.0,9.0,0.013927133238894105
MONDO_0007042,Q87.0,Q87,21.0,4.0,0.004178139971668232
MONDO_0008046,R82.1,R82,15.0,4.0,0.002984385694048737
MONDO_0009104,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0009177,Q81.8,Q81,1.0,0.0,0.0001989590462699158
MONDO_0009272,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0010076,Q77.7,Q77,9.0,5.0,0.0017906314164292422
MONDO_0010248,Q77.7,Q77,9.0,5.0,0.0017906314164292422
MONDO_0010641,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0010798,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0011264,G24.1,G24,9.0,6.0,0.0017906314164292422
MONDO_0011287,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0011569,G60.0,G60,101.0,31.0,0.020094863673261496
MONDO_0012203,E05.8,E05,1.0,0.0,0.0001989590462699158
MONDO_0012453,G11.4,G11,29.0,12.0,0.0057698123418275585
MONDO_0000171,Q04.3,Q04,2.0,0.0,0.0003979180925398316
MONDO_0007114,Q78.8,Q78,3.0,0.0,0.0005968771388097474
MONDO_0008050,G71.0,G71,82.0,27.0,0.016314641794133097
MONDO_0008357,Q87.2,Q87,13.0,2.0,0.0025864676015089055
MONDO_0009478,D81.1,D81,1.0,1.0,0.0001989590462699158
MONDO_0009570,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0009697,G40.3,G40,1.0,0.0,0.0001989590462699158
MONDO_0010208,Q82.8,Q82,86.0,52.0,0.01711047797921276
MONDO_0010505,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0011964,E77.8,E77,8.0,1.0,0.0015916723701593265
MONDO_0012359,D81.8,D81,1.0,1.0,0.0001989590462699158
MONDO_0007249,Q74.8,Q74,5.0,2.0,0.000994795231349579
MONDO_0008692,E78.6,E78,27.0,0.0,0.005371894249287726
MONDO_0008727,E25.0,E25,19.0,9.0,0.0037802218791284
MONDO_0008974,Q77.3,Q77,7.0,2.0,0.0013927133238894106
MONDO_0009393,E72.4,E72,1.0,0.0,0.0001989590462699158
MONDO_0009613,E71.1,E71,2.0,1.0,0.0003979180925398316
MONDO_0010295,Q78.2,Q78,10.0,2.0,0.001989590462699158
MONDO_0010626,D80.5,D80,3.0,2.0,0.0005968771388097474
MONDO_0010686,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0010888,N80.0,N80,2233.0,709.0,0.44427555032072197
MONDO_0001330,H52.4,H52,13.0,5.0,0.0025864676015089055
MONDO_0002319,E83.3,E83,214.0,14.0,0.04257723590176198
MONDO_0008137,Q87.0,Q87,21.0,4.0,0.004178139971668232
MONDO_0008504,Q25.3,Q25,14.0,2.0,0.002785426647778821
MONDO_0009921,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0010011,Q04.6,Q04,22.0,19.0,0.004377099017938147
MONDO_0010033,Q80.8,Q80,1.0,0.0,0.0001989590462699158
MONDO_0010073,Q77.7,Q77,9.0,5.0,0.0017906314164292422
MONDO_0010188,G11.1,G11,13.0,7.0,0.0025864676015089055
MONDO_0011004,Q04.3,Q04,2.0,0.0,0.0003979180925398316
MONDO_0012449,G11.2,G11,7.0,4.0,0.0013927133238894106
MONDO_0009011,Q79.8,Q79,24.0,8.0,0.0047750171104779795
MONDO_0009166,Q04.3,Q04,2.0,0.0,0.0003979180925398316
MONDO_0009670,Q68.8,Q68,18.0,5.0,0.0035812628328584844
MONDO_0009798,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0010299,E79.8,E79,2.0,0.0,0.0003979180925398316
MONDO_0010407,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0011096,D80.0,D80,3.0,2.0,0.0005968771388097474
MONDO_0011682,G11.8,G11,2.0,1.0,0.0003979180925398316
HP_0030160,N72,N72,1401.0,502.0,0.278741623824152
MONDO_0007511,Q82.4,Q82,1.0,0.0,0.0001989590462699158
MONDO_0007813,Q80.8,Q80,1.0,0.0,0.0001989590462699158
MONDO_0008061,Q87.2,Q87,13.0,2.0,0.0025864676015089055
MONDO_0008292,Q82.8,Q82,86.0,52.0,0.01711047797921276
MONDO_0011045,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0011225,D81.1,D81,1.0,1.0,0.0001989590462699158
MONDO_0012019,Q77.7,Q77,9.0,5.0,0.0017906314164292422
MONDO_0012495,Q77.7,Q77,9.0,5.0,0.0017906314164292422
MONDO_0012679,Q78.2,Q78,10.0,2.0,0.001989590462699158
MONDO_0002412,E74.0,E74,13.0,5.0,0.0025864676015089055
MONDO_0003019,E87.6,E87,1776.0,150.0,0.35335126617537044
MONDO_0007244,M89.8,M89,108.0,54.0,0.021487576997150905
MONDO_0007724,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0008390,L98.8,L98,1116.0,834.0,0.22203829563722605
MONDO_0009235,H35.5,H35,106.0,13.0,0.021089658904611074
MONDO_0010579,Q13.4,Q13,1.0,0.0,0.0001989590462699158
MONDO_0012108,Q77.7,Q77,9.0,5.0,0.0017906314164292422
MONDO_0008003,H49.4,H49,13.0,7.0,0.0025864676015089055
MONDO_0008113,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0009603,E71.1,E71,2.0,1.0,0.0003979180925398316
MONDO_0009611,E71.1,E71,2.0,1.0,0.0003979180925398316
MONDO_0009727,Q77.5,Q77,1.0,1.0,0.0001989590462699158
MONDO_0009855,E71.3,E71,6.0,2.0,0.0011937542776194949
MONDO_0010731,Q87.3,Q87,2.0,1.0,0.0003979180925398316
MONDO_0011540,G11.2,G11,7.0,4.0,0.0013927133238894106
MONDO_0011629,E77.8,E77,8.0,1.0,0.0015916723701593265
