Topic,First occurrence year,First valid occurrence date,reviews,research_review_ratio,reviews_div_research,reviews_ratio,Years from First ever occurrence to (first valid) Start date,Years since Start date,# Years of Topic coverage in dataset (After dates filtering),Average topic popularity value (After dates filtering),Max topic popularity value (After dates filtering),Minimum topic popularity value (After dates filtering),Year of topics max popularity (After dates filtering),Year of topics min popularity (After dates filtering),Fraction of papers that were reviews in year of topics max popularity,Fraction of papers that were reviews in year of topics lowest popularity,Average topic reviews popularity value (After dates filtering)
Synthetic Biology,1959,1969,6.46,-0.22,0.08,0.07,10,51,42,121.87,335.61,15.21,2019,1985,0.19,0.16,18.77
acetylcholine,1945,1950,36.74,1.0,0.08,0.08,5,70,42,359.91,513.6,142.33,1993,2020,0.09,0.14,32.21
amygdala,1945,1950,5.21,0.73,0.05,0.05,5,70,42,142.67,187.22,88.62,2012,1979,0.11,0.03,13.74
ancient bacteria,1950,1969,0.99,1.0,0.4,0.29,19,51,42,16.71,33.39,1.43,2016,1986,0.28,0.0,3.69
ancient dna,1974,1979,0.5,-13.24,0.13,0.12,5,41,41,27.35,47.04,1.35,2014,1982,0.09,0.0,2.7
antibiotic,1945,1950,262.16,1.0,0.1,0.09,5,70,42,2925.69,3358.66,2691.32,1984,2015,0.06,0.12,300.03
antibiotic resistance,1945,1950,38.23,1.0,0.09,0.08,5,70,42,676.19,936.27,434.06,2019,1988,0.12,0.1,81.58
aquaphonic agriculture,1945,1950,46.18,1.0,0.06,0.06,5,70,42,1526.54,4521.3,271.55,2020,1980,0.08,0.03,102.82
archaea,1945,1953,2.48,0.99,0.04,0.04,8,67,42,106.55,166.91,33.13,2001,1982,0.12,0.04,11.22
autism,1946,1951,7.2,0.41,0.14,0.12,5,69,42,150.23,407.73,39.84,2019,1981,0.13,0.05,23.49
autoimmune,1946,1951,140.51,1.0,0.32,0.24,5,69,42,698.02,932.59,289.97,2020,1979,0.26,0.12,179.01
basal ganglia,1945,1950,20.6,0.91,0.05,0.04,5,70,42,457.97,577.19,254.93,1997,2020,0.1,0.08,35.54
cannabidiol,1963,1974,0.0,0.89,0.0,0.0,11,46,42,8.86,53.66,1.2,2020,1992,0.26,0.0,1.6
cannabis,1945,1950,1.99,-0.44,0.13,0.12,5,70,42,59.98,191.98,16.74,2020,1992,0.16,0.1,8.58
carbon dating,1950,1965,0.0,-187.67,0.0,0.0,15,55,38,3.42,8.91,0.3,2015,1985,0.08,0.0,0.13
cerebellum,1945,1950,17.63,0.97,0.05,0.05,5,70,42,333.98,452.86,191.37,1997,2020,0.09,0.09,21.88
cholesterol,1945,1950,91.61,1.0,0.1,0.09,5,70,42,1005.54,1164.21,803.74,2005,2020,0.11,0.09,94.14
cocaine,1945,1950,15.64,0.96,0.1,0.09,5,70,42,159.47,254.05,60.74,1992,1983,0.13,0.03,16.07
coral,1945,1950,1.74,0.72,0.07,0.06,5,70,42,60.54,143.89,13.12,2017,1985,0.07,0.02,3.78
dopamine,1948,1953,61.32,1.0,0.09,0.08,5,67,42,662.34,849.64,343.35,1984,2020,0.06,0.15,76.53
epigenetics,1958,1964,4.96,1.0,0.48,0.32,6,56,42,240.41,841.22,7.8,2019,1979,0.28,0.09,72.75
epinephrine,1945,1950,24.83,1.0,0.06,0.05,5,70,42,274.28,550.82,91.38,1984,2020,0.04,0.11,17.3
epstein-barr,1968,1973,12.41,0.66,0.09,0.08,5,47,42,136.42,188.46,72.31,2001,1979,0.16,0.07,15.76
ethnic differences,1945,1950,10.43,0.99,0.07,0.06,5,70,42,343.06,568.4,71.96,2011,1979,0.06,0.02,23.05
eugenics,1945,1950,0.74,-10.22,0.03,0.03,5,70,42,21.46,41.63,9.48,1993,2020,0.07,0.15,1.45
fMRI,1947,1964,124.13,0.85,0.16,0.13,17,56,42,1866.14,3104.81,4.25,2013,1979,0.11,0.0,233.59
gene therapy,1945,1950,60.08,0.99,0.44,0.31,5,70,42,1158.94,2286.22,78.39,2017,1980,0.23,0.14,307.28
genetic algorithm,1951,1980,1.24,0.78,0.06,0.05,29,40,40,221.3,529.39,2.47,2019,1981,0.07,0.0,15.5
genetic engineering,1945,1950,32.77,0.87,0.31,0.24,5,70,42,920.99,1691.2,32.61,2000,1979,0.13,0.05,122.11
glutamate,1945,1950,20.85,0.73,0.04,0.04,5,70,42,602.82,838.17,399.16,1998,2020,0.11,0.1,52.96
glycine,1945,1950,10.18,1.0,0.03,0.03,5,70,42,306.38,404.94,206.87,1995,2020,0.03,0.06,12.94
hippocampus,1946,1951,18.62,0.96,0.04,0.04,5,69,42,579.09,743.38,222.26,1998,1979,0.08,0.02,36.67
homeopathy,1945,1950,0.5,0.94,0.04,0.04,5,70,42,17.83,36.04,3.9,1999,1979,0.2,0.0,2.49
hypothalamus,1945,1950,51.39,1.0,0.07,0.06,5,70,42,613.36,1026.92,220.23,1985,2020,0.06,0.19,68.32
inflammatory,1945,1950,219.71,1.0,0.18,0.16,5,70,42,2481.27,4304.35,785.53,2020,1979,0.19,0.05,453.67
influenza,1945,1950,29.29,1.0,0.1,0.09,5,70,42,408.5,720.15,313.71,2010,1994,0.09,0.09,40.81
junk dna,1957,1976,6.46,0.98,0.04,0.04,19,44,42,272.87,515.9,21.62,2001,1979,0.04,0.1,10.37
language model,1949,1967,6.46,0.98,0.13,0.11,18,53,42,152.14,318.17,30.48,2019,1979,0.09,0.13,22.37
lateral ventricles,1946,1951,3.23,0.92,0.08,0.07,5,69,42,39.99,51.35,27.33,1990,2019,0.05,0.07,2.24
lipid,1945,1950,444.88,1.0,0.09,0.08,5,70,42,5048.26,5470.6,3817.07,1991,2020,0.09,0.11,466.98
lithium,1945,1950,26.56,0.57,0.16,0.14,5,70,42,195.6,273.71,140.08,2019,1997,0.07,0.13,17.46
