Topic,First occurrence year,First valid occurrence date,reviews,research_review_ratio,reviews_div_research,reviews_ratio,Years from First ever occurrence to (first valid) Start date,Years since Start date,# Years of Topic coverage in dataset (After dates filtering),Average topic popularity value (After dates filtering),Max topic popularity value (After dates filtering),Minimum topic popularity value (After dates filtering),Year of topics max popularity (After dates filtering),Year of topics min popularity (After dates filtering),Fraction of papers that were reviews in year of topics max popularity,Fraction of papers that were reviews in year of topics lowest popularity,Average topic reviews popularity value (After dates filtering)
rnase,1945,1950,11.7,0.66,0.09,0.08,5,70,42,201.07,299.33,106.33,1998,2020,0.03,0.09,10.33
savant,1946,1954,0.08,-0.9,0.05,0.05,8,66,42,1.83,3.56,0.35,1995,1981,0.0,0.0,0.18
serotonin,1946,1952,68.53,0.96,0.23,0.18,6,68,42,557.48,740.22,230.32,1998,2020,0.15,0.16,74.57
single cell,1945,1950,174.55,0.98,0.09,0.08,5,70,42,1899.17,2280.07,858.91,1997,1979,0.06,0.02,134.49
sleep,1945,1950,147.43,0.99,0.18,0.15,5,70,42,709.39,1278.41,450.55,2020,1979,0.12,0.04,98.13
somatosensory cortex,1946,1958,5.14,0.64,0.08,0.07,12,62,42,86.04,112.97,50.89,1999,2020,0.09,0.06,5.26
soy milk,1946,1957,2.24,-4.51,0.2,0.17,11,63,42,10.5,16.26,4.28,2004,1980,0.1,0.0,1.13
stem cells,1945,1950,328.95,0.99,0.2,0.17,5,70,42,1093.95,2070.73,246.01,2017,1979,0.16,0.08,172.45
substance P,1946,1955,4.73,0.94,0.14,0.12,9,65,42,120.18,249.32,26.03,1993,2020,0.07,0.12,10.69
subthalamus,1946,1951,1.99,-0.11,0.09,0.08,5,69,41,14.31,32.51,0.22,2004,1996,0.12,1.0,1.24
synthetic biology,1959,1969,41.55,0.83,0.21,0.17,10,51,42,121.84,334.98,15.21,2019,1985,0.19,0.16,18.76
thalamus,1945,1950,15.6,0.79,0.11,0.1,5,70,42,210.47,270.44,133.03,1980,2020,0.03,0.07,16.01
ultrasound,1945,1950,626.04,1.0,0.12,0.11,5,70,42,5779.36,7730.25,4820.6,2017,1979,0.11,0.02,548.96
vaccine,1945,1950,259.26,0.96,0.22,0.18,5,70,42,1185.89,1641.14,695.6,2020,1981,0.19,0.05,190.35
viral therapy,1946,1952,128.18,0.92,0.27,0.21,6,68,42,444.48,1272.56,107.96,2020,1980,0.21,0.15,96.37
vitamin C,1945,1950,13.27,0.97,0.07,0.07,5,70,42,204.78,257.84,155.54,2003,1988,0.09,0.08,14.51
vitamin D,1945,1950,70.77,0.98,0.22,0.18,5,70,42,278.77,396.53,213.67,2017,1988,0.19,0.11,45.57
zebra fish,1948,1953,22.07,0.37,0.1,0.09,5,67,42,115.11,287.77,1.41,2019,1981,0.08,0.0,11.87
BLAST,1945,1950,11.77,0.94,0.08,0.08,5,70,42,166.42,198.61,103.33,1989,1980,0.04,0.03,9.99
BRCA1,1993,1998,12.8,-0.06,0.16,0.14,5,22,22,89.32,96.47,78.96,2019,1999,0.13,0.2,14.02
BRCA2,1993,1998,8.59,0.07,0.17,0.14,5,22,22,59.0,68.36,48.26,2019,2000,0.12,0.23,10.04
Brodmann area,1951,1978,0.72,0.59,0.08,0.08,27,42,42,7.75,15.28,0.71,2005,1980,0.02,0.0,0.31
CRISPR,2002,2007,20.12,-11.12,0.23,0.19,5,13,13,134.06,385.56,3.34,2020,2008,0.15,0.18,21.17
Cingulate cortex,1946,1951,9.07,0.92,0.06,0.06,5,69,42,79.36,162.47,13.82,2013,1979,0.07,0.0,5.25
DNA array,1956,1978,50.9,1.0,0.1,0.09,22,42,42,335.22,991.05,4.25,2010,1979,0.08,0.08,31.59
Dorsolateral prefrontal cortex,1960,1975,3.82,-0.05,0.06,0.06,15,45,42,29.16,68.94,0.36,2014,1980,0.05,0.0,1.96
Drug repurposing,1973,1979,9.78,-0.27,0.31,0.24,1979,41,38,15.39,144.66,0.0,2020,1981,0.27,,3.68
EEG,1945,1950,53.12,0.89,0.1,0.09,5,70,42,586.98,719.95,501.23,1979,2002,0.03,0.12,45.99
Epidemiology,1945,1950,1297.86,1.0,0.12,0.11,5,70,42,8212.46,12747.16,3672.11,2020,1980,0.08,0.04,931.46
FACS,1950,1976,1.83,0.81,0.03,0.02,26,44,42,50.16,79.32,7.8,2008,1979,0.01,0.0,0.92
GABA,1947,1953,38.65,0.95,0.17,0.15,6,67,42,369.12,475.79,216.04,1999,2020,0.12,0.13,42.11
GWAS,1989,1998,50.66,0.54,0.17,0.14,9,22,22,195.48,372.8,2.02,2019,1999,0.11,0.2,26.73
HMM,1968,1977,0.4,-0.36,0.03,0.03,9,43,42,15.18,27.5,6.26,1990,1985,0.0,0.0,0.26
Histamine,1945,1950,17.1,-0.14,0.19,0.16,5,70,42,324.78,574.29,87.32,1985,2020,0.07,0.15,37.08
Insular cortex,1946,1952,2.07,0.57,0.08,0.07,6,68,42,17.15,32.25,2.49,2018,1980,0.07,0.0,1.27
LSD,1950,1955,1.99,-2.04,0.11,0.1,5,65,42,19.85,38.28,12.2,1979,1992,0.04,0.08,1.7
MRI,1947,1964,376.16,0.9,0.13,0.11,17,56,42,1996.95,3345.91,4.25,2013,1979,0.11,0.0,255.81
Medulla oblongata,1945,1950,1.83,-0.04,0.05,0.05,5,70,42,134.82,238.8,27.87,1984,2020,0.07,0.08,6.47
Mononucleosis,1945,1950,1.99,-0.6,0.22,0.18,5,70,42,27.22,66.28,8.03,1981,2018,0.12,0.16,3.43
NGS,1966,1985,17.1,0.72,0.18,0.15,19,35,35,35.68,205.21,0.24,2020,1991,0.12,0.0,5.04
Norepinephrine,1946,1951,24.81,-3.25,0.17,0.15,5,69,42,495.23,984.44,129.16,1984,2020,0.06,0.14,35.8
Orbitofrontal cortex,1945,1950,37.46,0.09,0.11,0.1,5,70,42,178.59,375.57,12.05,2013,1979,0.1,0.03,17.68
PCR,1964,1970,39.68,1.0,0.02,0.02,6,50,42,1603.88,2849.55,3.21,2006,1980,0.02,0.0,34.5
Prefrontal cortex,1945,1950,34.99,0.86,0.11,0.1,5,70,42,167.92,353.57,9.93,2015,1979,0.1,0.04,16.61
RNA,1945,1950,347.61,0.98,0.08,0.07,5,70,42,3791.73,4945.07,1555.58,2006,1982,0.06,0.05,223.39
SNP,1950,1977,13.52,1.0,0.03,0.03,27,43,42,162.28,437.75,4.58,2013,1986,0.04,0.0,5.74
Synthetic Biology,1959,1969,47.88,-0.26,0.21,0.17,10,51,42,121.87,335.61,15.21,2019,1985,0.19,0.16,18.77
acetylcholine,1945,1950,24.18,0.91,0.14,0.12,5,70,42,359.91,513.6,142.33,1993,2020,0.09,0.14,32.21
amygdala,1945,1950,22.58,0.74,0.14,0.12,5,70,42,142.67,187.22,88.62,2012,1979,0.11,0.03,13.74
ancient bacteria,1950,1969,7.08,0.92,0.27,0.21,19,51,42,16.71,33.39,1.43,2016,1986,0.28,0.0,3.69
ancient dna,1974,1979,4.06,-9.77,0.09,0.09,5,41,41,27.35,47.04,1.35,2014,1982,0.09,0.0,2.7
ancient viruses,1963,1972,2.54,-0.36,0.37,0.27,9,48,42,5.22,11.51,0.31,2020,1984,0.28,0.0,1.55
antibiotic,1945,1950,315.16,1.0,0.13,0.12,5,70,42,2925.69,3358.66,2691.32,1984,2015,0.06,0.12,300.03
antibiotic resistance,1945,1950,97.02,1.0,0.14,0.12,5,70,42,676.19,936.27,434.06,2019,1988,0.12,0.1,81.58
aquaphonic agriculture,1945,1950,185.48,1.0,0.06,0.06,5,70,42,1526.54,4521.3,271.55,2020,1980,0.08,0.03,102.82
archaea,1945,1953,17.66,0.97,0.13,0.12,8,67,42,106.55,166.91,33.13,2001,1982,0.12,0.04,11.22
artificial neural networks,1981,1991,1.99,0.91,0.04,0.04,10,29,29,63.38,167.98,13.16,2020,1992,0.12,0.09,4.34
autism,1946,1951,62.43,0.79,0.22,0.18,5,69,42,150.23,407.73,39.84,2019,1981,0.13,0.05,23.49
autoimmune,1946,1951,243.83,0.82,0.39,0.28,5,69,42,698.02,932.59,289.97,2020,1979,0.26,0.12,179.01
basal ganglia,1945,1950,31.02,0.93,0.09,0.08,5,70,42,457.97,577.19,254.93,1997,2020,0.1,0.08,35.54
biosimilar,1977,2009,9.94,0.99,0.49,0.33,32,11,11,30.77,53.36,7.75,2018,2010,0.23,0.37,8.24
buckyballs,1990,1995,8.82,1.0,0.07,0.07,5,25,25,87.19,191.29,3.72,2011,1997,0.06,0.06,5.79
cannabidiol,1963,1974,3.98,1.0,0.37,0.27,11,46,42,8.86,53.66,1.2,2020,1992,0.26,0.0,1.6
cannabis,1945,1950,16.22,0.87,0.18,0.16,5,70,42,59.98,191.98,16.74,2020,1992,0.16,0.1,8.58
carbon dating,1950,1965,0.72,-26.38,0.09,0.08,15,55,38,3.42,8.91,0.3,2015,1985,0.08,0.0,0.13
carbon nanotubes,1992,1997,12.72,0.0,0.07,0.07,5,23,23,132.39,230.29,1.9,2011,1998,0.06,0.0,8.43
cerebellum,1945,1950,19.4,0.95,0.09,0.08,5,70,42,333.98,452.86,191.37,1997,2020,0.09,0.09,21.88
cholesterol,1945,1950,97.34,0.98,0.11,0.1,5,70,42,1005.54,1164.21,803.74,2005,2020,0.11,0.09,94.14
cocaine,1945,1950,16.3,0.63,0.14,0.13,5,70,42,159.47,254.05,60.74,1992,1983,0.13,0.03,16.07
connectome,2005,2013,6.76,0.93,0.14,0.12,8,7,7,78.92,104.56,47.29,2019,2014,0.08,0.16,8.03
coral,1945,1950,8.67,0.9,0.08,0.07,5,70,42,60.54,143.89,13.12,2017,1985,0.07,0.02,3.78
crypto,1945,1955,0.08,0.94,0.06,0.06,1955,65,42,0.88,2.14,0.0,2020,1979,0.09,,0.06
cumin,1951,1983,0.56,-5.5,0.1,0.09,32,37,37,2.98,7.36,0.31,2018,1984,0.05,0.0,0.25
dopamine,1948,1953,69.9,0.93,0.18,0.15,5,67,42,662.34,849.64,343.35,1984,2020,0.06,0.15,76.53
epigenetics,1958,1964,230.07,0.99,0.45,0.31,6,56,42,240.41,841.22,7.8,2019,1979,0.28,0.09,72.75
epinephrine,1945,1950,10.74,0.92,0.12,0.1,5,70,42,274.28,550.82,91.38,1984,2020,0.04,0.11,17.3
epstein-barr,1968,1973,19.88,0.17,0.22,0.18,5,47,42,136.42,188.46,72.31,2001,1979,0.16,0.07,15.76
ethnic differences,1945,1950,42.55,0.71,0.08,0.08,5,70,42,343.06,568.4,71.96,2011,1979,0.06,0.02,23.05
eugenics,1945,1950,1.51,-26.76,0.13,0.12,5,70,42,21.46,41.63,9.48,1993,2020,0.07,0.15,1.45
fMRI,1947,1964,339.89,0.88,0.13,0.11,17,56,42,1866.14,3104.81,4.25,2013,1979,0.11,0.0,233.59
gene therapy,1945,1950,506.1,1.0,0.29,0.22,5,70,42,1158.94,2286.22,78.39,2017,1980,0.23,0.14,307.28
genetic algorithm,1951,1980,27.6,0.95,0.06,0.06,29,40,40,221.3,529.39,2.47,2019,1981,0.07,0.0,15.5
genetic engineering,1945,1950,162.63,0.98,0.16,0.14,5,70,42,920.99,1691.2,32.61,2000,1979,0.13,0.05,122.11
glutamate,1945,1950,55.11,0.49,0.12,0.11,5,70,42,602.82,838.17,399.16,1998,2020,0.11,0.1,52.96
glycine,1945,1950,12.72,0.99,0.06,0.06,5,70,42,306.38,404.94,206.87,1995,2020,0.03,0.06,12.94
graph neural network,1979,1994,0.8,1.0,0.05,0.05,15,26,26,10.41,39.13,1.26,2020,1998,0.02,0.0,0.47
hippocampus,1946,1951,49.7,0.94,0.08,0.07,5,69,42,579.09,743.38,222.26,1998,1979,0.08,0.02,36.67
homeopathy,1945,1950,1.99,-0.2,0.13,0.12,5,70,42,17.83,36.04,3.9,1999,1979,0.2,0.0,2.49
hydrophonics,1945,1951,0.4,0.97,0.02,0.02,6,69,42,14.02,36.07,1.06,2020,1981,0.01,0.0,0.2
hypothalamus,1945,1950,52.25,0.98,0.22,0.18,5,70,42,613.36,1026.92,220.23,1985,2020,0.06,0.19,68.32
illumina,1951,2000,39.29,0.96,0.08,0.07,49,20,20,254.52,707.14,3.7,2019,2003,0.07,0.14,18.32
inflammatory,1945,1950,715.26,1.0,0.24,0.19,5,70,42,2481.27,4304.35,785.53,2020,1979,0.19,0.05,453.67
influenza,1945,1950,47.48,0.93,0.11,0.1,5,70,42,408.5,720.15,313.71,2010,1994,0.09,0.09,40.81
junk dna,1957,1976,13.04,0.99,0.05,0.04,19,44,42,272.87,515.9,21.62,2001,1979,0.04,0.1,10.37
language model,1949,1967,45.48,0.97,0.2,0.17,18,53,42,152.14,318.17,30.48,2019,1979,0.09,0.13,22.37
lateral ventricles,1946,1951,3.34,0.0,0.1,0.09,5,69,42,39.99,51.35,27.33,1990,2019,0.05,0.07,2.24
lipid,1945,1950,443.52,0.95,0.11,0.1,5,70,42,5048.26,5470.6,3817.07,1991,2020,0.09,0.11,466.98
lithium,1945,1950,10.82,-0.1,0.05,0.04,5,70,42,195.6,273.71,140.08,2019,1997,0.07,0.13,17.46
lncRNA,1976,1981,33.8,0.99,0.28,0.22,5,39,39,72.75,555.89,2.03,2020,1982,0.13,0.0,10.42
machine learning,1957,1968,12.41,0.96,0.05,0.05,11,52,42,111.96,1113.56,0.35,2020,1981,0.09,1.0,8.21
mass spectrometry,1947,1952,80.96,0.96,0.05,0.04,5,68,42,1104.34,1936.78,305.92,2011,1979,0.04,0.02,43.38
metabolome,1998,2003,51.61,0.95,0.19,0.16,5,17,17,244.98,581.92,21.57,2020,2004,0.12,0.33,37.95
metagenomics,1998,2004,17.97,0.91,0.15,0.13,6,16,16,123.45,236.16,10.85,2020,2005,0.1,0.36,18.33
miRNA,1970,2005,156.98,0.99,0.2,0.16,35,15,15,696.62,1258.89,94.8,2019,2006,0.12,0.3,112.38
microglia,1949,1954,35.63,0.52,0.21,0.18,5,66,42,103.21,271.05,3.23,2020,1983,0.17,0.0,15.25
mouse,1945,1950,355.48,1.0,0.06,0.05,5,70,42,6183.18,7170.06,4914.18,2010,1979,0.07,0.05,406.62
multiple sclerosis,1945,1950,89.15,1.0,0.27,0.21,5,70,42,287.43,429.02,168.38,2019,1979,0.18,0.05,52.98
nanopore,1992,2000,4.45,0.04,0.05,0.05,8,20,20,64.83,116.6,6.94,2020,2001,0.06,0.08,3.12
natural medicine,1945,1950,264.9,0.99,0.22,0.18,5,70,42,837.31,3138.46,58.14,2018,1979,0.14,0.09,149.78
ncRNA,1953,1975,162.31,0.99,0.12,0.11,22,45,42,564.88,1610.04,4.96,2019,1979,0.09,0.07,54.06
neocortex,1946,1951,6.6,0.97,0.14,0.12,5,69,42,65.81,106.09,30.84,1999,1979,0.1,0.02,6.4
neural networks,1958,1968,32.92,-0.08,0.13,0.11,10,52,42,185.99,750.58,2.82,2020,1981,0.07,0.0,18.83
neuropeptide,1945,1950,73.72,0.93,0.15,0.13,5,70,42,1475.96,2407.52,395.6,1986,2020,0.07,0.14,148.32
opioids,1945,1950,73.96,0.92,0.17,0.15,5,70,42,624.0,781.73,499.41,1986,2011,0.06,0.14,62.42
paleocortex,1945,1950,93.12,1.0,0.07,0.07,5,70,42,1427.04,1772.36,964.41,1999,2020,0.08,0.05,92.49
perceptron,1958,1970,4.77,-0.43,0.04,0.04,12,50,40,118.65,514.72,0.32,2020,1983,0.05,0.0,7.43
pineal gland,1945,1950,4.45,0.13,0.29,0.23,5,70,42,57.36,114.14,17.41,1979,2020,0.05,0.26,7.05
pituitary gland,1945,1950,13.36,-4.82,0.21,0.18,5,70,42,258.33,515.22,61.47,1980,2020,0.06,0.19,25.71
prion,1956,1968,16.22,0.98,0.26,0.21,12,52,42,66.47,130.52,2.84,2004,1979,0.22,0.12,14.23
race,1945,1950,74.68,1.0,0.05,0.05,5,70,42,969.14,1560.94,428.01,2012,1981,0.04,0.02,50.16
ribosome,1949,1957,36.82,0.99,0.05,0.04,8,63,42,605.16,840.41,331.26,2009,1987,0.05,0.04,31.24
ribozyme,1956,1969,7.87,0.99,0.11,0.1,13,51,42,85.9,162.6,8.2,2000,1980,0.09,0.0,8.56
rnai,1978,1983,13.6,0.8,0.08,0.08,5,37,37,80.93,199.04,0.68,2010,1994,0.1,0.0,8.03
rnase,1945,1950,12.41,0.62,0.1,0.09,5,70,42,201.07,299.33,106.33,1998,2020,0.03,0.09,10.33
savant,1946,1954,0.32,-0.6,0.15,0.13,8,66,42,1.83,3.56,0.35,1995,1981,0.0,0.0,0.18
serotonin,1946,1952,59.8,0.96,0.21,0.17,6,68,42,557.48,740.22,230.32,1998,2020,0.15,0.16,74.57
single cell,1945,1950,179.89,0.97,0.1,0.09,5,70,42,1899.17,2280.07,858.91,1997,1979,0.06,0.02,134.49
sleep,1945,1950,158.97,0.99,0.18,0.16,5,70,42,709.39,1278.41,450.55,2020,1979,0.12,0.04,98.13
somatosensory cortex,1946,1958,5.17,0.63,0.08,0.07,12,62,42,86.04,112.97,50.89,1999,2020,0.09,0.06,5.26
soy milk,1946,1957,1.51,-5.16,0.14,0.13,11,63,42,10.5,16.26,4.28,2004,1980,0.1,0.0,1.13
stem cells,1945,1950,335.68,1.0,0.2,0.16,5,70,42,1093.95,2070.73,246.01,2017,1979,0.16,0.08,172.45
substance P,1946,1955,3.9,0.94,0.14,0.13,9,65,42,120.18,249.32,26.03,1993,2020,0.07,0.12,10.69
subthalamus,1946,1951,1.91,0.08,0.08,0.07,5,69,41,14.31,32.51,0.22,2004,1996,0.12,1.0,1.24
synthetic biology,1959,1969,47.86,0.83,0.21,0.17,10,51,42,121.84,334.98,15.21,2019,1985,0.19,0.16,18.76
thalamus,1945,1950,15.35,0.78,0.11,0.1,5,70,42,210.47,270.44,133.03,1980,2020,0.03,0.07,16.01
ultrasound,1945,1950,624.82,1.0,0.12,0.11,5,70,42,5779.36,7730.25,4820.6,2017,1979,0.11,0.02,548.96
vaccine,1945,1950,258.3,0.96,0.21,0.18,5,70,42,1185.89,1641.14,695.6,2020,1981,0.19,0.05,190.35
viral therapy,1946,1952,122.87,0.91,0.26,0.21,6,68,42,444.48,1272.56,107.96,2020,1980,0.21,0.15,96.37
vitamin C,1945,1950,12.72,0.97,0.07,0.07,5,70,42,204.78,257.84,155.54,2003,1988,0.09,0.08,14.51
vitamin D,1945,1950,69.27,0.98,0.21,0.18,5,70,42,278.77,396.53,213.67,2017,1988,0.19,0.11,45.57
zebra fish,1948,1953,20.76,0.33,0.1,0.09,5,67,42,115.11,287.77,1.41,2019,1981,0.08,0.0,11.87
BLAST,1945,1950,10.51,0.92,0.07,0.07,5,70,42,166.42,198.61,103.33,1989,1980,0.04,0.03,9.99
BRCA1,1993,1998,16.11,-0.17,0.21,0.17,5,22,22,89.32,96.47,78.96,2019,1999,0.13,0.2,14.02
BRCA2,1993,1998,12.3,0.03,0.24,0.2,5,22,22,59.0,68.36,48.26,2019,2000,0.12,0.23,10.04
Brodmann area,1951,1978,0.23,0.6,0.03,0.03,27,42,42,7.75,15.28,0.71,2005,1980,0.02,0.0,0.31
CRISPR,2002,2007,34.88,-6.46,0.24,0.2,5,13,13,134.06,385.56,3.34,2020,2008,0.15,0.18,21.17
Cingulate cortex,1946,1951,9.96,0.89,0.08,0.07,5,69,42,79.36,162.47,13.82,2013,1979,0.07,0.0,5.25
DNA array,1956,1978,47.8,1.0,0.1,0.09,22,42,42,335.22,991.05,4.25,2010,1979,0.08,0.08,31.59
Dorsolateral prefrontal cortex,1960,1975,3.97,-0.1,0.06,0.06,15,45,42,29.16,68.94,0.36,2014,1980,0.05,0.0,1.96
Drug repurposing,1973,1979,14.4,0.02,0.4,0.29,1979,41,38,15.39,144.66,0.0,2020,1981,0.27,,3.68
EEG,1945,1950,49.75,0.89,0.09,0.08,5,70,42,586.98,719.95,501.23,1979,2002,0.03,0.12,45.99
Epidemiology,1945,1950,1330.7,1.0,0.13,0.12,5,70,42,8212.46,12747.16,3672.11,2020,1980,0.08,0.04,931.46
FACS,1950,1976,1.32,0.78,0.02,0.02,26,44,42,50.16,79.32,7.8,2008,1979,0.01,0.0,0.92
GABA,1947,1953,37.29,0.96,0.17,0.14,6,67,42,369.12,475.79,216.04,1999,2020,0.12,0.13,42.11
GWAS,1989,1998,45.54,0.51,0.15,0.13,9,22,22,195.48,372.8,2.02,2019,1999,0.11,0.2,26.73
HMM,1968,1977,0.16,-0.88,0.01,0.01,9,43,42,15.18,27.5,6.26,1990,1985,0.0,0.0,0.26
Histamine,1945,1950,20.79,-0.08,0.24,0.19,5,70,42,324.78,574.29,87.32,1985,2020,0.07,0.15,37.08
Insular cortex,1946,1952,2.41,0.49,0.09,0.08,6,68,42,17.15,32.25,2.49,2018,1980,0.07,0.0,1.27
LSD,1950,1955,2.49,-1.58,0.12,0.11,5,65,42,19.85,38.28,12.2,1979,1992,0.04,0.08,1.7
MRI,1947,1964,389.41,0.89,0.14,0.12,17,56,42,1996.95,3345.91,4.25,2013,1979,0.11,0.0,255.81
Medulla oblongata,1945,1950,3.04,-0.06,0.09,0.08,5,70,42,134.82,238.8,27.87,1984,2020,0.07,0.08,6.47
Mononucleosis,1945,1950,1.87,-1.02,0.23,0.19,5,70,42,27.22,66.28,8.03,1981,2018,0.12,0.16,3.43
NGS,1966,1985,19.31,0.78,0.16,0.14,19,35,35,35.68,205.21,0.24,2020,1991,0.12,0.0,5.04
Norepinephrine,1946,1951,24.52,-3.75,0.19,0.16,5,69,42,495.23,984.44,129.16,1984,2020,0.06,0.14,35.8
Orbitofrontal cortex,1945,1950,31.61,0.02,0.1,0.09,5,70,42,178.59,375.57,12.05,2013,1979,0.1,0.03,17.68
PCR,1964,1970,39.7,0.99,0.02,0.02,6,50,42,1603.88,2849.55,3.21,2006,1980,0.02,0.0,34.5
Prefrontal cortex,1945,1950,29.58,0.87,0.1,0.09,5,70,42,167.92,353.57,9.93,2015,1979,0.1,0.04,16.61
RNA,1945,1950,357.26,0.98,0.08,0.08,5,70,42,3791.73,4945.07,1555.58,2006,1982,0.06,0.05,223.39
SNP,1950,1977,14.17,0.99,0.04,0.04,27,43,42,162.28,437.75,4.58,2013,1986,0.04,0.0,5.74
Synthetic Biology,1959,1969,51.07,-0.17,0.2,0.17,10,51,42,121.87,335.61,15.21,2019,1985,0.19,0.16,18.77
acetylcholine,1945,1950,22.11,0.92,0.14,0.12,5,70,42,359.91,513.6,142.33,1993,2020,0.09,0.14,32.21
amygdala,1945,1950,22.26,0.73,0.14,0.13,5,70,42,142.67,187.22,88.62,2012,1979,0.11,0.03,13.74
ancient bacteria,1950,1969,9.26,0.92,0.38,0.28,19,51,42,16.71,33.39,1.43,2016,1986,0.28,0.0,3.69
ancient dna,1974,1979,6.31,-10.29,0.16,0.14,5,41,41,27.35,47.04,1.35,2014,1982,0.09,0.0,2.7
ancient viruses,1963,1972,2.57,-0.25,0.37,0.27,9,48,42,5.22,11.51,0.31,2020,1984,0.28,0.0,1.55
antibiotic,1945,1950,333.51,1.0,0.14,0.12,5,70,42,2925.69,3358.66,2691.32,1984,2015,0.06,0.12,300.03
antibiotic resistance,1945,1950,108.21,1.0,0.15,0.13,5,70,42,676.19,936.27,434.06,2019,1988,0.12,0.1,81.58
aquaphonic agriculture,1945,1950,226.09,1.0,0.07,0.07,5,70,42,1526.54,4521.3,271.55,2020,1980,0.08,0.03,102.82
archaea,1945,1953,15.73,0.95,0.14,0.12,8,67,42,106.55,166.91,33.13,2001,1982,0.12,0.04,11.22
artificial neural networks,1981,1991,2.57,0.92,0.05,0.05,10,29,29,63.38,167.98,13.16,2020,1992,0.12,0.09,4.34
autism,1946,1951,60.57,0.8,0.2,0.17,5,69,42,150.23,407.73,39.84,2019,1981,0.13,0.05,23.49
autoimmune,1946,1951,244.84,0.83,0.38,0.28,5,69,42,698.02,932.59,289.97,2020,1979,0.26,0.12,179.01
basal ganglia,1945,1950,31.14,0.93,0.1,0.09,5,70,42,457.97,577.19,254.93,1997,2020,0.1,0.08,35.54
biosimilar,1977,2009,11.83,0.99,0.45,0.31,32,11,11,30.77,53.36,7.75,2018,2010,0.23,0.37,8.24
buckyballs,1990,1995,9.03,1.0,0.09,0.08,5,25,25,87.19,191.29,3.72,2011,1997,0.06,0.06,5.79
cannabidiol,1963,1974,4.36,1.0,0.33,0.25,11,46,42,8.86,53.66,1.2,2020,1992,0.26,0.0,1.6
cannabis,1945,1950,21.56,0.88,0.23,0.18,5,70,42,59.98,191.98,16.74,2020,1992,0.16,0.1,8.58
carbon dating,1950,1965,0.39,-26.59,0.05,0.04,15,55,38,3.42,8.91,0.3,2015,1985,0.08,0.0,0.13
carbon nanotubes,1992,1997,11.83,-0.26,0.07,0.07,5,23,23,132.39,230.29,1.9,2011,1998,0.06,0.0,8.43
cerebellum,1945,1950,21.49,0.94,0.11,0.1,5,70,42,333.98,452.86,191.37,1997,2020,0.09,0.09,21.88
cholesterol,1945,1950,104.4,0.98,0.13,0.11,5,70,42,1005.54,1164.21,803.74,2005,2020,0.11,0.09,94.14
cocaine,1945,1950,12.53,0.59,0.11,0.1,5,70,42,159.47,254.05,60.74,1992,1983,0.13,0.03,16.07
connectome,2005,2013,8.64,0.94,0.14,0.12,8,7,7,78.92,104.56,47.29,2019,2014,0.08,0.16,8.03
coral,1945,1950,9.11,0.92,0.07,0.06,5,70,42,60.54,143.89,13.12,2017,1985,0.07,0.02,3.78
crypto,1945,1955,0.16,0.77,0.1,0.09,1955,65,42,0.88,2.14,0.0,2020,1979,0.09,,0.06
cumin,1951,1983,0.86,-6.59,0.16,0.14,32,37,37,2.98,7.36,0.31,2018,1984,0.05,0.0,0.25
dopamine,1948,1953,71.78,0.92,0.19,0.16,5,67,42,662.34,849.64,343.35,1984,2020,0.06,0.15,76.53
epigenetics,1958,1964,230.59,0.99,0.42,0.29,6,56,42,240.41,841.22,7.8,2019,1979,0.28,0.09,72.75
epinephrine,1945,1950,10.82,0.87,0.12,0.11,5,70,42,274.28,550.82,91.38,1984,2020,0.04,0.11,17.3
epstein-barr,1968,1973,17.91,0.22,0.22,0.18,5,47,42,136.42,188.46,72.31,2001,1979,0.16,0.07,15.76
ethnic differences,1945,1950,42.04,0.69,0.09,0.08,5,70,42,343.06,568.4,71.96,2011,1979,0.06,0.02,23.05
eugenics,1945,1950,1.17,-24.66,0.1,0.09,5,70,42,21.46,41.63,9.48,1993,2020,0.07,0.15,1.45
fMRI,1947,1964,350.87,0.87,0.13,0.12,17,56,42,1866.14,3104.81,4.25,2013,1979,0.11,0.0,233.59
gene therapy,1945,1950,507.82,1.0,0.29,0.23,5,70,42,1158.94,2286.22,78.39,2017,1980,0.23,0.14,307.28
genetic algorithm,1951,1980,27.87,0.95,0.06,0.06,29,40,40,221.3,529.39,2.47,2019,1981,0.07,0.0,15.5
genetic engineering,1945,1950,168.24,0.98,0.17,0.14,5,70,42,920.99,1691.2,32.61,2000,1979,0.13,0.05,122.11
glutamate,1945,1950,60.57,0.5,0.14,0.12,5,70,42,602.82,838.17,399.16,1998,2020,0.11,0.1,52.96
glycine,1945,1950,13.47,1.0,0.06,0.06,5,70,42,306.38,404.94,206.87,1995,2020,0.03,0.06,12.94
graph neural network,1979,1994,1.17,1.0,0.07,0.06,15,26,26,10.41,39.13,1.26,2020,1998,0.02,0.0,0.47
hippocampus,1946,1951,43.21,0.94,0.07,0.07,5,69,42,579.09,743.38,222.26,1998,1979,0.08,0.02,36.67
homeopathy,1945,1950,1.71,-0.56,0.12,0.11,5,70,42,17.83,36.04,3.9,1999,1979,0.2,0.0,2.49
hydrophonics,1945,1951,0.16,0.96,0.01,0.01,6,69,42,14.02,36.07,1.06,2020,1981,0.01,0.0,0.2
hypothalamus,1945,1950,49.12,0.98,0.21,0.18,5,70,42,613.36,1026.92,220.23,1985,2020,0.06,0.19,68.32
