ICD10,f41202,All
T170,1,1
Q141,1,16
Z946,0,16
N182,4,235
F140,0,5
S767,4,4
Z423,78,99
G218,1,2
M6190,0,1
S731,15,17
H951,63,74
S7291,2,3
I130,2,8
S451,2,3
R898,3,7
U800,0,204
V199,0,112
D289,1,3
S8260,726,840
M2451,31,43
T904,3,118
W254,0,2
S370,18,36
M7901,11,17
M7207,8,9
N484,244,357
C672,236,273
H441,27,40
E631,1,1
T58,59,67
F181,0,2
Y179,0,1
E744,0,1
S142,6,7
M5326,14,20
S579,2,4
M0590,232,310
G245,58,80
T204,2,2
Z225,3,259
P283,0,2
V835,0,2
Z963,0,12
Y538,0,19
Z281,0,1
X979,0,1
G310,17,53
W4503,0,1
S3211,1,1
G723,6,8
M2344,4,11
M4801,1,2
D390,27,130
Q393,0,2
Y607,0,1
M4940,0,1
G541,11,15
M2352,6,11
Y536,0,9
S9201,8,11
F012,0,1
S630,30,52
N421,117,236
T339,1,1
Q336,1,4
Z520,37,44
M7716,0,1
L028,24,31
M8189,4,8
S523,9,10
T468,1,1
E441,0,1
M7158,1,2
T599,18,19
O069,15,16
W2382,0,1
G258,58,328
Y844,0,75
Y526,0,51
K578,99,129
K717,1,7
Z926,0,3019
Y730,0,9
M5323,0,1
E201,3,8
O701,2721,4140
M122,12,12
M45,128,459
V545,0,4
K262,9,13
R58,34,113
R398,2848,4082
T670,3,3
J189,3071,4541
D101,165,173
M5339,16,18
M8421,7,7
N851,163,236
S020,17,28
N422,58,131
R465,0,1
O045,1,1
J672,6,20
L853,0,4
M2361,82,129
M2125,2,18
B829,2,6
T959,0,4
S2710,37,95
W748,0,5
D401,49,76
M9486,53,175
R502,16,23
M7284,1,1
G718,2,5
M1914,25,29
O341,49,173
G111,7,13
S417,4,6
I630,28,30
L905,2074,2771
Y043,0,10
E041,463,593
R292,3,20
O698,37,119
Q718,0,2
V244,0,11
W530,0,2
T244,1,1
M0589,5,8
W234,0,34
M6009,3,3
K700,25,112
T241,5,13
M2503,2,2
H021,423,505
Z886,0,5294
Z808,11,306
M2482,12,15
M7265,6,6
J068,1,1
Y148,0,1
H109,30,205
S7201,3,3
K352,57,59
M4880,1,2
F421,3,11
Z605,1,2
M2123,6,8
X582,0,13
C688,3,4
V196,0,3
C543,5,14
E660,16,68
K521,112,183
K460,21,34
Z634,1,224
Q438,17,65
M0595,10,12
S597,2,2
Q043,0,2
W559,0,254
N075,0,1
T838,208,274
M908,0,5
M5436,302,378
M2454,64,84
C041,1,8
M8989,2,11
S341,4,12
X190,0,14
S062,38,48
X160,0,23
X410,0,123
D022,12,14
T475,1,2
Q898,0,4
M8588,4,38
M8381,0,1
Z620,0,4
C449,45,4667
S567,12,22
Z028,0,2450
Q859,35,50
Q652,5,11
S0280,47,130
M1124,1,2
F413,2,16
M204,1161,2297
D612,3,3
M4954,12,57
Z082,363,405
M5485,2,4
Q614,4,14
W2962,0,1
M8559,0,2
M4310,8,19
T459,1,3
M4025,7,13
V745,0,1
Z245,0,23
I830,167,234
N343,41,45
W074,0,1
M7220,0,1
F341,25,58
M4010,1,2
M8966,1,4
S825,55,67
M7993,7,9
C851,395,519
D748,0,1
M7956,13,17
Q056,0,1
O325,49,92
T875,10,17
Q266,2,3
M7917,3,4
M7915,40,50
C928,2,3
A64,0,2
F708,1,1
M5384,1,2
K659,98,327
F621,1,2
F153,0,1
Z012,35,38
F812,0,4
M7927,19,23
T08X0,3,4
C160,315,378
G824,12,46
I360,1,3
R81,27,131
X808,0,4
S2731,1,3
S997,2,3
M0530,1,1
X518,0,24
W599,0,3
B980,0,1092
J398,106,207
V693,0,7
B973,1,3
O900,20,32
W209,0,175
V115,0,1
W2309,0,1
D164,83,92
I490,99,404
G588,103,170
H538,247,887
D70,1555,3961
V181,0,18
M7248,1,1
W062,0,94
M6521,8,14
M8548,1,2
W112,0,9
X0493,0,1
M772,1,2
S9211,6,8
R093,11,111
D683,32,106
S108,6,18
Q759,0,2
I604,32,33
X788,0,6
M1309,22,83
V470,0,34
Z809,24,311
J312,71,103
S218,2,3
Q560,0,1
S4240,223,251
F411,68,182
C414,12,16
M2461,2,2
K523,61,95
N498,18,28
H939,41,56
M7798,1,2
D299,1,1
X507,0,2
S3641,4,8
X799,0,3
W307,0,5
M796,1106,1670
Y410,0,32
Z948,4,508
L923,138,177
S3610,22,52
K256,6,10
A402,3,10
C784,22,95
R630,96,989
I788,16,41
R002,2557,4775
D609,3,13
M7081,3,5
M9121,0,5
M2333,1197,1596
M6246,3,10
S608,134,217
A530,2,5
R296,340,1541
Q280,15,19
G450,14,32
L818,49,69
Y574,0,3
C068,4,7
M4839,0,1
N821,13,15
M7997,14,15
D594,4,11
X597,0,2
J171,0,21
S3251,0,2
M7089,2,3
K226,267,401
V699,0,2
K671,0,4
L658,6,8
S662,205,248
N486,745,1000
I319,377,549
R730,76,358
B182,239,417
B432,1,1
E282,52,288
S069,66,79
M0644,2,2
N837,4,7
M460,0,2
Q702,1,1
E883,1,16
M2564,83,99
Y478,0,7
K704,82,137
A872,9,9
C185,142,182
Z139,265,3342
M6097,1,1
J188,20,39
Q353,2,2
I450,2,13
X809,0,4
G062,17,29
M6627,11,13
M064,27,55
W856,0,1
E116,42,118
Y339,0,3
G527,5,9
F201,6,6
Y0042,0,1
Q254,8,22
S231,1,6
M850,2,13
Z130,263,3885
D460,3,7
M6515,1,2
M7971,0,3
X268,0,3
C813,2,5
E05,0,1
Z435,69,81
M1920,0,4
Q549,20,84
V684,0,9
M0643,2,3
T368,2,11
T175,28,36
M0610,4,6
M320,1,11
K009,23,30
N922,3,7
Y293,0,2
M7182,4,5
V941,0,1
I072,0,2
D824,1,1
N834,7,9
M1093,27,35
T291,3,3
H932,4,16
S2230,202,481
M907,3,64
N832,2613,4682
R300,472,1348
M82,0,2
M820,0,1
W202,0,4
W2652,0,1
X649,0,440
M6624,69,80
E228,1,2
G610,191,244
R900,131,191
F900,0,7
M4887,7,15
I089,3,20
M2301,5,7
N050,2,6
M2544,21,31
M4855,12,26
S821,127,146
E213,141,416
C19,758,995
Z991,2,466
H740,46,108
Z863,2,536
M2428,17,26
M638,0,1
X3981,0,2
Y758,0,1
J677,0,2
A850,0,1
A803,0,1
Z731,1,2
H832,9,9
S760,7,8
F29,105,214
M4722,138,196
M9981,4,9
Y102,0,1
K102,86,111
V049,0,4
M7257,4,4
G978,35,90
F639,0,2
X924,0,1
M1040,0,1
I313,222,805
X514,0,4
W0103,0,4
K267,219,374
X314,0,3
S602,3,62
K110,7,8
J120,0,2
V119,0,11
V209,0,1
S0691,0,1
S7270,4,8
M4624,8,12
E119,699,23756
G711,24,71
M068,12,19
V933,0,8
H521,72,1505
M8599,3,23
X7609,0,1
E035,0,2
M940,94,128
M6513,1,2
C313,1,1
C024,26,38
W046,0,1
S322,1,2
I774,1,3
Q039,2,7
N289,164,592
O620,53,80
Q615,8,36
L403,11,23
C711,173,201
H605,35,41
A698,0,1
F193,7,9
M7235,1,1
I863,9,20
M8692,0,4
Z1383,0,2
Q050,1,1
W0281,0,1
Z953,0,271
Z913,0,6
M6584,58,75
C917,4,6
M4135,0,2
X599,0,4204
F481,0,2
M0529,5,10
S541,6,30
T533,1,1
F450,15,29
N883,11,19
M2431,4,5
Q212,6,7
A523,2,2
R859,9,13
C549,49,119
W314,0,7
H599,26,33
S007,51,116
L601,6,10
T025,5,6
K610,1376,1447
I259,1755,13449
P238,2,2
F841,1,2
M5453,3,3
Q606,0,2
R853,0,2
L743,5,5
O151,1,6
D287,9,9
M4196,122,398
B408,0,1
K388,90,172
G950,26,63
V924,0,1
N185,327,503
Y69,0,8
Z820,2,179
F190,0,3
S6261,312,364
R601,14,78
M709,1,3
M658,74,117
W446,0,3
M8489,0,2
S330,5,5
N930,637,1401
M2501,1,1
T110,10,48
K069,47,59
R836,0,2
Q980,2,5
J09,4,8
V2999,0,3
Z947,0,132
D445,4,8
M950,242,290
N879,399,614
R848,0,4
W2241,0,1
G713,18,33
M5389,3,4
I512,0,1
I511,3,42
X6409,0,1
S2241,0,2
K022,4,4
Z719,45,253
R578,0,4
N291,0,9
Q230,19,37
E054,0,1
N891,12,17
M062,1,3
G439,1523,3127
I221,188,205
O008,6,6
F161,0,4
T428,12,19
S467,4,4
C050,13,22
S749,1,2
Z509,143,1014
O630,320,530
Y609,0,4
N049,103,191
M866,16,30
E230,187,344
M7702,99,124
W0190,0,1
N601,441,655
M8048,4,5
H493,1,1
M688,0,2
Z622,0,2
M4198,5,9
C220,140,195
T383,88,116
M7258,7,12
X174,0,2
Y742,0,1
M8187,1,1
K380,6,14
Q544,1,1
N501,575,751
M0290,13,20
I677,13,21
Q676,3,14
C540,2,6
N903,36,41
K145,5,6
L891,0,372
K461,1,3
M771,433,487
O360,88,342
C113,2,2
M4886,6,17
L950,2,5
H445,12,27
W064,0,1
B204,2,8
S396,1,1
W065,0,2
M2555,1514,1973
S941,0,1
M775,42,75
M0822,1,1
U52,0,4
W698,0,5
W012,0,248
S111,1,1
Q917,0,1
D728,80,311
I880,11,17
H571,104,214
A491,24,118
C249,31,43
K622,37,75
L998,3,11
M313,111,162
D729,2,7
E831,674,801
X096,0,1
K350,816,840
E140,5,12
H058,39,51
M349,85,170
C811,72,156
R268,400,1849
T427,20,41
D039,2,30
N748,0,1
T090,12,33
A91,2,2
L893,12,58
V847,0,2
E160,32,57
Y530,0,4
M0010,1,1
T805,3,5
M2343,21,40
M6158,0,1
M5465,8,11
K029,3388,3979
N814,1141,1425
Q233,3,12
K744,1,12
S235,2,3
M1392,15,41
Y1109,0,1
Z920,3,239
W288,0,1
N993,475,579
V888,0,5
S900,4,29
R937,26,138
M8894,1,4
F171,10,13292
R600,268,1527
A422,1,1
W2518,0,1
Z538,1332,18655
O079,1,1
K510,132,164
O342,1034,1581
N806,12,16
D690,38,56
R895,0,18
M353,132,1343
M1116,1,4
V683,0,3
N855,3,6
T885,9,102
H049,52,64
V928,0,2
O640,184,307
H542,2,21
M8992,13,22
M1389,7,36
D226,439,570
X414,0,1
X122,0,3
M2120,2,6
O603,2,9
N111,22,28
M8925,1,2
Z371,0,85
W2799,0,2
Q279,17,24
H025,196,278
C210,108,149
Q059,13,162
W045,0,1
O359,41,72
B390,0,2
D531,5,12
L759,0,1
R32,1303,2936
M8642,1,1
Q079,1,2
Q640,0,3
S204,8,20
L281,27,38
M490,0,10
T159,10,12
B358,1,4
M4800,50,103
W569,0,2
Z460,7,8
H409,771,3078
E41,0,3
S622,26,34
Y218,0,1
M9961,1,5
Y839,0,408
R066,31,125
M1997,1730,2732
L518,2,3
F641,0,1
X5889,0,1
G512,0,1
Z711,168,253
M0647,2,3
A809,4,17
R074,25506,28420
Q532,9,13
B679,3,4
D519,34,208
M118,2,4
I444,1,24
F071,2,4
M7065,222,277
W008,0,150
S6230,305,394
D598,1,4
W031,0,1
V050,0,2
M9191,0,1
M8707,1,1
G529,8,25
M2149,0,1
K713,0,2
Y542,0,1
M190,120,247
C790,11,104
L401,14,28
M7262,1,1
S1280,2,5
M754,4820,5936
T793,182,266
C492,112,160
T235,2,2
S364,4,7
S2251,2,2
M8310,0,8
M613,0,1
V1929,0,1
Z836,0,38
B551,1,5
M8985,20,44
O997,19,35
K509,1070,1731
B459,0,1
Q622,3,9
I272,93,418
K148,713,804
M2418,0,2
J458,2,16
A209,0,1
V2809,0,2
E505,0,1
Y483,0,72
M900,0,4
I421,71,167
J840,7,11
M1009,2,17
N488,361,532
F340,5,10
W174,0,75
D410,128,172
T931,0,78
M1090,25,65
K752,2,4
NA,0,502616
W790,0,47
M6634,25,28
C910,72,92
X112,0,2
Z908,0,320
N830,163,648
F803,0,1
I823,2,24
M218,7,13
M2493,0,1
M2350,7,8
C849,4,4
W148,0,2
M8422,7,7
M6247,1,3
K261,35,38
B217,1,1
M2497,2,5
N898,781,1439
T578,1,3
D160,23,25
N138,174,249
I802,2629,3531
S064,20,27
V945,0,1
S2721,3,5
A878,2,2
O429,563,688
D761,2,3
H448,13,23
I673,2,7
T466,18,81
L660,2,2
Q442,0,1
J180,269,377
M421,1,5
R875,7,10
L82,2836,3603
M2320,1081,1157
J959,4,37
C099,227,268
C253,22,25
B981,0,1
M8981,14,25
M6657,8,10
D123,1999,2931
S9241,38,39
T818,1251,2363
M751,3274,4370
I445,0,4
D808,4,9
M8620,1,1
K284,4,4
Q505,13,22
C919,10,49
V808,0,4
M6195,1,1
A750,1,1
R000,323,2697
R061,57,135
I651,14,19
Q278,17,27
G546,12,46
G544,31,46
X802,0,1
J329,1093,2034
H492,81,142
V040,0,5
Z090,5532,5831
S680,51,51
L940,41,73
Y752,0,3
K292,93,132
W191,0,63
Z988,6,774
X950,0,1
C915,11,23
E875,376,1218
L130,10,41
F149,0,2
T813,882,1627
X6598,0,1
P250,0,1
W239,0,464
T463,12,19
D383,8,11
N032,4,11
H162,19,35
M5332,1,1
W329,0,2
M0732,0,1
N043,2,3
T113,2,2
D199,0,2
Z952,0,1191
G09,0,52
W2562,0,2
X814,0,2
V060,0,5
S620,20,37
M45X8,0,3
M7715,1,1
Y908,0,24
X489,0,4
Y239,0,1
I514,43,90
T656,2,3
J40,245,760
T598,77,95
J157,115,126
E248,8,11
O655,16,37
D040,10,15
M0649,52,72
Z409,15,24
V430,0,7
S3220,2,7
L415,1,1
R701,4,18
M4017,1,1
E899,2,8
C268,3,3
Q064,0,1
M8696,20,45
D233,734,856
N321,101,160
M0637,26,38
G801,3,22
C450,195,244
H475,1,8
M45X4,0,1
M402,6,48
O669,7,13
C052,2,3
L659,27,97
Q998,4,20
M182,1,1
M4690,7,53
S0631,3,3
E328,5,7
C23,67,86
Y518,0,3
T174,2,4
C478,0,1
V445,0,57
R192,5,21
M6191,0,2
V849,0,2
E169,2,5
C810,25,58
K852,35,42
E049,475,698
V171,0,2
Q927,1,1
G464,2,29
W912,0,2
H919,526,3317
T817,49,111
D731,5,25
Y094,0,15
E164,1,2
S16,5,6
S459,2,6
X080,0,12
S3271,0,1
C221,167,217
X5909,0,1
S9210,38,63
M1251,1,1
A153,2,5
M5397,0,1
O927,3,5
M2574,76,255
B962,1,3435
A048,699,1980
K078,7,8
K592,4,18
M5460,1,1
H690,2,3
V584,0,12
G478,72,103
M5407,1,1
M9435,2,3
M7968,17,36
I071,19,347
M674,3082,3436
N053,6,15
M833,0,1
X996,0,2
M7004,6,7
J123,1,3
X539,0,2
N805,24,60
T784,380,520
M6286,40,76
F650,0,1
I471,1876,2862
C459,87,115
K500,339,456
K903,1,3
M854,3,5
D760,4,7
K254,149,208
I639,2737,2953
Z292,123,401
Q204,0,2
D339,1,9
O998,606,794
R799,115,312
C577,7,8
A799,1,1
X907,0,1
S657,0,6
M461,57,90
G990,1,145
M5328,1,3
W0008,0,1
M7782,0,2
M8727,3,17
F981,1,1
M7226,2,2
D170,1118,1174
W195,0,160
K599,124,174
X040,0,24
M5320,0,1
K092,123,155
S524,9,10
K863,125,208
M4052,1,11
S741,0,2
M6027,4,4
F919,3,9
M7013,1,1
X168,0,1
M4027,1,3
N896,54,82
V7849,0,2
V1999,0,1
E291,92,199
K660,571,3549
H059,21,23
M614,2,4
R202,656,1968
T436,12,40
M888,4,5
N110,14,24
F638,0,2
X670,0,15
S3651,4,4
F600,7,22
F601,3,8
T372,4,10
N363,49,85
W647,0,2
S9220,50,82
M4725,1,1
K805,2463,2864
V496,0,16
S3280,42,67
Y428,0,119
M6526,4,5
M8385,0,1
Z733,7,273
W902,0,2
Z960,7,1689
Q380,8,9
O922,9,42
K624,200,332
M8193,2,14
E209,10,65
G463,2,17
D071,130,178
M6024,12,13
W080,0,122
N044,0,1
S336,1,2
W796,0,1
Q421,0,1
M4818,1,1
W571,0,1
Z854,12,5180
N068,0,1
K829,79,128
X540,0,3
V4369,0,3
M9943,0,1
L817,7,9
S462,66,75
C421,0,8
R065,1867,2603
Z729,0,14
M8041,0,1
Y341,0,1
Q790,5,10
B449,20,87
W185,0,85
Z029,2,4
S931,49,94
M7155,8,8
W125,0,2
D763,31,68
T094,1,1
Y3499,0,1
X593,0,69
C836,1,1
V686,0,3
I081,116,894
J678,5,8
M1310,2,2
W2609,0,2
T366,1,1
U88,0,220
S848,0,1
S971,8,8
B966,0,40
M7253,6,7
X617,0,1
O985,7,29
V415,0,1
M4352,0,1
M252,0,1
E259,1,2
C250,271,342
H650,31,35
D172,1968,2221
X629,0,336
W459,0,342
E743,1,59
T0241,2,2
V285,0,19
M4155,2,7
S431,75,98
O755,3,13
Z902,1,647
F630,2,3
I078,1,6
M804,0,1
Q777,5,9
F173,1,10
G433,13,17
M8138,0,1
I879,9,16
S8201,23,31
M7713,12,14
G448,51,66
V4981,0,1
Y903,0,2
C691,2,3
M7000,1,1
X448,0,2
J860,29,55
I789,3,10
Z035,732,1582
T953,0,14
M2491,5,8
Y459,0,25
N923,754,1160
M206,279,386
Y655,0,2
C222,0,2
J387,502,599
E108,24,51
F108,3,9
Z632,0,5
Y411,0,17
Z550,0,2
M1996,178,416
M7969,193,342
Q140,0,2
G933,63,707
F028,1,49
C61,6066,8855
M2122,3,9
L908,7,15
M7141,2,5
Z488,549,1009
E039,165,17210
N62,824,1012
N250,1,9
C159,558,684
D231,1294,1384
K225,105,193
Z813,0,2
Y189,0,1
S961,26,36
S3640,9,15
C56,1046,1452
T237,1,2
Q525,14,24
Z340,159,248
T389,1,1
C541,1427,1785
Z975,6,484
B974,0,26
Z897,0,37
Q742,19,30
M8167,1,1
O717,9,34
M355,0,2
L231,2,42
M834,0,2
I368,1,2
M4640,6,10
N060,1,1
N062,1,2
C058,2,3
V598,0,13
M6589,0,3
F681,6,12
M0607,11,15
X319,0,9
W7994,0,1
A069,2,4
Z617,0,1
V951,0,3
I500,1023,2548
T445,1,1
N958,238,516
M8080,2,2
Y401,0,83
Z599,0,27
S028,13,27
S201,14,26
Y605,0,25
V232,0,1
Y617,0,2
M432,1,14
T115,1,1
V816,0,2
D477,12,17
Y702,0,1
Q300,4,5
X221,0,1
M893,11,25
E790,0,24
C132,0,3
A819,0,1
M814,6,167
D409,1,1
D017,1,7
E146,14,23
M8556,1,1
O220,7,26
L511,22,46
L119,4,7
M2160,3,3
M236,6,24
F120,1,9
D862,10,22
S246,2,3
S720,210,225
O691,115,317
I601,123,128
M1927,29,52
T142,3,3
C475,3,5
M6598,3,4
X859,0,2
W130,0,119
R825,5,13
W007,0,1
S682,48,48
D439,0,4
L88,14,34
K263,182,306
M7913,3,4
J208,36,39
B372,5,41
P159,10,11
M2210,1,1
D411,9,26
L043,1,3
B580,1,5
M815,0,2
M8938,3,21
Z579,0,2
Q639,1,10
H262,120,134
H451,0,1
L564,6,12
V950,0,3
F454,8,14
H282,0,5
Q938,0,2
H819,22,52
I235,0,2
Y788,0,1
W240,0,1
I453,43,90
M7991,4,6
M542,777,1198
Y421,0,22
S5310,2,3
B023,57,84
F452,11,17
J370,76,107
M7906,8,14
I605,6,6
K400,41,44
N419,487,755
M8199,578,3949
O074,10,12
M0029,1,2
K089,207,238
G839,21,54
C901,18,24
N884,2,12
T432,519,827
S565,14,23
Y525,0,139
F39,19,57
O714,51,92
M4729,0,6
B002,5,24
M2484,23,30
M8563,0,3
M6631,2,10
M2583,33,40
Z379,0,4
B027,5,6
M4817,1,1
Y909,0,4
H598,154,190
M2167,67,94
S921,13,19
M315,11,52
H742,20,33
Q385,7,9
M249,11,13
N031,5,17
S5290,3,6
M4059,1,5
M7998,15,16
S0621,3,4
R263,5,178
M6089,6,11
F121,1,140
Y044,0,139
Y572,0,7
D437,1,1
G550,18,140
J448,54,760
M8483,8,11
N895,124,221
H054,4,19
F61,10,19
C817,15,18
M4858,0,2
S3231,3,3
U808,0,171
Q352,1,1
M7127,0,1
M7787,1,3
A363,0,3
F408,1,19
Q161,4,5
E800,0,2
Z575,1,188
M414,0,6
S528,30,50
V425,0,10
O365,184,345
S2681,1,1
S134,86,110
O240,35,71
S730,51,65
M9494,0,1
C310,11,19
C501,413,727
D538,1,2
S450,1,1
F072,21,34
V021,0,28
Z468,118,178
K250,64,81
H050,105,144
B399,2,3
L97,459,1367
V781,0,24
M4793,3,11
N643,6,11
W669,0,1
D589,17,49
W860,0,13
V824,0,14
Y309,0,3
M799,26,44
F133,5,9
W2203,0,1
Z521,0,7
C637,3,3
O323,34,57
Q121,3,5
I610,47,56
W449,0,529
Y042,0,28
Z315,5,6
S4210,94,224
M930,3,5
T200,12,30
M773,20,33
Q558,3,6
M4329,1,15
X806,0,1
Y464,0,56
M2394,2,2
F112,19,116
D370,109,122
D135,30,64
M767,4,6
N719,117,208
S563,28,33
M089,2,6
Z566,2,63
W368,0,4
H443,2,5
A514,1,3
V235,0,14
M4795,8,20
M6295,5,6
M4986,0,2
F604,3,7
C944,8,10
M720,2608,2721
M896,0,2
V459,0,1
T822,53,104
T754,35,46
M2302,2,9
N083,1,360
E639,1,11
O621,34,52
R683,2,23
C173,1,3
C320,143,216
V899,0,62
W7380,0,1
N762,140,180
S268,1,2
Z643,0,1
Q521,10,15
Q331,0,2
M9973,4,15
N015,0,1
Y463,0,1
Q252,0,1
D302,3,3
R935,159,403
V291,0,1
D030,7,9
V019,0,10
T033,2,2
P923,0,2
N915,17,33
T360,20,54
M856,12,31
N351,5,6
M1924,2,6
M8797,20,32
X238,0,9
D721,27,83
W5488,0,2
T479,0,2
J201,5,5
F323,260,310
N218,35,43
E661,0,2
B978,2,261
W366,0,1
F985,2,10
Q979,0,1
F174,0,5
D060,26,77
W252,0,7
T921,5,227
D67,7,15
O366,92,223
M839,2,9
T191,15,18
I988,0,3
S8231,85,86
R51,6387,9675
S097,6,9
R632,2,4
D168,10,10
C725,3,6
S0221,12,17
M4206,0,2
E872,39,1307
S663,407,542
O410,86,181
F661,0,2
M546,115,165
S628,38,46
Z724,0,24
R938,150,343
Q688,5,18
M500,413,473
S761,329,343
F330,52,61
X583,0,12
M233,598,841
M2134,0,1
Z448,21,24
R030,63,1832
M330,0,1
K035,1,3
M258,100,159
G114,12,29
O926,1,2
B447,0,1
X088,0,1
O009,100,101
G130,1,9
O302,1,3
L750,1,2
Z459,11,17
M9427,3,6
M45X6,9,18
M7075,19,30
T340,1,1
Z467,24,60
M6243,1,2
L271,18,66
M0735,1,18
D34,297,329
M7581,10,16
Q387,139,162
M8312,1,16
N005,1,1
I615,43,87
M6514,51,64
M4852,2,7
D000,36,71
K718,1,4
M7925,36,47
M9663,0,2
Q674,12,16
K628,2089,3379
Q219,9,21
G941,3,42
V1969,0,2
T600,5,5
M219,10,19
N036,1,1
S4270,27,41
H518,5,8
E318,1,1
T364,5,10
C408,1,1
K673,1,2
M8799,1,3
C447,957,1747
O239,27,44
M7746,0,2
F139,0,3
M7151,2,2
E835,391,1334
K458,67,109
W2352,0,3
K229,366,672
Q663,12,31
M2469,0,1
I636,5,6
M7744,0,1
D239,108,137
O266,21,32
H661,31,37
D190,2,2
Y322,0,1
S550,7,12
X888,0,3
Q019,0,3
F920,0,1
M2345,1,1
B199,31,45
Q874,20,87
M4787,233,403
T830,337,491
I609,528,577
D374,329,474
X992,0,5
J951,0,3
N047,3,3
R440,26,135
M2435,1,1
K403,317,333
Q893,0,11
H330,1591,1647
I052,40,78
M100,12,28
F151,2,27
Z278,1,2
M2456,24,40
I236,2,4
S927,11,18
Z889,0,232
M070,0,8
M4713,2,2
V029,0,5
W025,0,4
M1905,4,6
Z701,4,23
E750,0,1
V837,0,13
B838,0,1
T292,3,5
T224,1,1
V4859,0,3
G129,2,6
Q058,1,4
D619,203,489
O658,0,1
X049,0,14
A370,0,1
N853,1,3
J841,394,1059
Z966,9,11896
M670,28,31
Z480,444,608
R223,285,346
H219,12,23
I828,133,257
M9119,1,5
K550,157,316
D611,7,30
V051,0,2
R837,0,1
A379,0,1
M2560,3,20
W350,0,1
C66,84,112
I864,59,171
M8499,0,1
T247,1,3
J358,210,264
V1248,0,1
M2417,42,80
K381,14,79
O152,1,7
E107,1,16
N889,88,156
Z743,1,11
V483,0,1
I679,116,1207
M8105,1,1
G735,1,2
H470,30,82
C931,19,25
M5418,58,68
J380,140,248
R442,1,18
W055,0,1
T408,0,2
M632,0,1
H048,75,93
C470,7,7
Z858,20,6613
S526,103,110
A94,1,1
W792,0,19
M0285,1,1
Y0021,0,1
V589,0,2
O450,1,1
D142,2,2
M7749,1,5
F528,1,1
M2190,0,1
N600,245,314
E111,115,162
G822,52,208
Z921,5,12022
S143,14,29
Y419,0,5
M9483,3,6
Y843,0,18
Z251,1,6
Z760,0,7
G991,0,5
S47,4,5
W309,0,2
I370,5,15
Q700,2,2
C112,1,1
N949,166,221
Z087,1136,1200
M1391,113,418
X6209,0,1
O150,2,2
T924,0,23
C795,1002,2587
M5458,306,341
N609,60,65
M5381,1,1
Z857,78,1336
E300,0,1
S023,18,30
Z861,4,2811
A630,147,240
H743,38,98
O94,0,4
Q062,2,7
I019,0,4
V536,0,3
S509,39,195
Y899,0,68
C349,1332,1872
S253,0,1
L438,46,50
Z424,51,64
T823,85,118
Q801,0,1
H931,110,644
M1094,36,59
W440,0,193
M4296,1,2
J128,5,7
T300,3,6
A159,1,4
K313,5,17
D530,1,7
N279,2,15
X439,0,22
T118,1,2
G440,91,115
T863,1,1
W1008,0,1
M8899,14,43
Z223,0,1110
R31,16011,19129
M4849,1,4
Q341,3,3
H163,14,17
E129,0,2
Z812,0,6
T254,1,2
C089,16,29
M2460,0,1
W000,0,107
H271,48,79
S823,92,102
D384,5,14
I00,2,23
C797,19,342
M1910,2,4
M180,127,155
H71,453,514
M4781,0,1
X949,0,1
W5449,0,1
D391,151,233
X4499,0,3
M7297,2,3
M8895,6,16
Z842,0,39
M5424,1,2
A421,2,4
A400,22,48
M6091,2,5
M0293,2,3
W496,0,20
V030,0,42
F317,29,42
A162,35,57
O355,0,3
M8712,0,1
S092,6,14
X805,0,1
X065,0,1
V195,0,2
B348,23,74
I849,8834,16137
M2506,69,102
S700,32,85
Y009,0,65
M6535,1,1
V825,0,1
E011,4,4
X094,0,2
Q383,5,5
S323,5,7
C155,444,535
O678,3,15
M873,1,4
D046,108,308
B559,1,1
G514,4,4
F799,0,44
V882,0,1
M2480,0,2
Y567,0,1
C539,263,513
T474,4,12
M4842,0,1
D431,21,28
N989,2,3
V0399,0,1
S0261,6,6
Y333,0,1
G808,2,16
M8522,0,11
M7229,1,13
M898,54,108
N12,990,1185
K572,511,582
T66,8,34
W4509,0,3
D179,354,421
X494,0,2
Z884,1,339
X498,0,6
Y404,0,23
Q765,8,16
F300,66,81
M9425,0,5
Z563,0,37
M518,86,180
O758,43,177
S428,2,4
M9000,0,1
S667,49,66
M4727,56,69
E040,63,72
M7236,2,2
D464,11,36
M0509,1,9
T064,4,7
G239,0,1
D513,3,14
Q309,6,7
C781,12,79
V476,0,22
T634,116,128
Z631,0,4
Z765,2,2
S3660,3,6
T269,3,3
Y544,0,36
L721,5682,5993
T029,1,1
X401,0,1
M123,2,13
V585,0,3
T851,58,60
Z519,36,134
H310,9,85
S345,0,1
M4786,728,1604
V892,0,161
M2450,0,4
D848,5,15
R232,36,98
K404,14,14
M9428,0,1
M1180,1,2
Y095,0,3
F640,42,51
M7731,1,3
R652,0,1
X531,0,1
X849,0,17
M2537,71,109
F539,2,2
M6159,1,1
W555,0,2
W1908,0,1
M840,53,60
I738,19,54
C843,1,2
X169,0,4
R458,75,314
Q795,1,5
C73,435,642
E876,150,1776
V774,0,1
M8546,1,9
W061,0,15
R591,263,613
H029,787,850
I868,44,92
M1312,1,2
M7222,1,2
T147,1,2
W0231,0,1
M244,59,75
Y831,0,7417
M7965,423,899
W038,0,14
Q651,6,9
H300,1,1
M1992,108,180
O438,27,147
K276,1,4
Y721,0,2
R048,20,48
M2164,1,1
E139,27,205
J110,25,26
