ICD10,f41202,All
Q871,2,14
M0692,51,57
G509,13,28
S3611,2,6
B977,5,349
M1901,172,355
B351,34,95
M8587,4,20
M8594,0,2
M8542,0,1
M8723,0,1
A182,16,22
M368,0,25
J691,1,2
M332,39,56
M7966,2484,3470
A408,30,93
D691,5,14
M5498,38,58
W549,0,400
J700,12,15
D443,47,79
H053,6,8
Q061,2,2
Y610,0,18
L278,1,2
Q842,0,1
Z33,11,591
Q541,6,23
F701,1,1
M7105,1,1
F402,3,599
W024,0,8
G470,54,176
X608,0,41
M8735,7,8
E034,1,1
M7130,0,1
A045,376,472
T919,0,52
V969,0,1
D314,2,11
T434,14,40
C508,538,1255
V482,0,6
G719,1,2
Q123,0,2
M1129,0,3
Z018,1093,1826
M0297,2,5
G050,0,9
J690,260,701
M1231,0,1
M7982,64,106
L80,6,75
J042,6,6
X830,0,4
Z570,0,2
X792,0,2
R873,3,4
M6106,1,1
M0688,5,5
S041,0,2
O075,0,1
K851,228,248
E102,18,112
L128,1,3
X440,0,117
B012,10,11
Z712,39,103
V293,0,17
O820,353,437
M8880,1,2
M9665,0,1
S6221,4,4
R104,16153,22130
E841,2,3
O076,2,2
I438,0,7
X166,0,1
B80,28,98
Z758,1,60
M7133,2,3
R250,2,11
X620,0,252
T000,1,1
M2390,3,5
E101,264,318
K004,1,1
H159,7,10
T528,7,7
H186,82,112
E271,108,207
S601,10,17
K045,590,664
T935,2,42
W245,0,3
X060,0,7
M9401,0,1
Z272,0,4
D097,7,8
M0096,116,142
M5469,2,4
S5220,58,82
D235,669,843
Z980,4,2532
B220,3,5
M8194,3,12
W060,0,189
S055,16,18
S051,43,120
W068,0,2
C772,117,1736
M6212,0,8
T923,3,74
N033,2,6
C542,8,15
N200,3087,3882
X5801,0,1
H202,1,2
M2569,0,4
E079,106,425
H278,75,88
O422,18,21
M080,2,6
Y122,0,1
Q723,0,1
X239,0,109
N280,23,90
M5412,131,175
K29,1528,3014
F024,0,1
Z510,7,3124
H818,16,22
Z638,0,78
K286,2,2
T903,0,9
Y703,0,8
F179,0,16
R650,0,15
I7080,7,22
V124,0,6
Z961,4,6466
I716,15,20
H911,3,35
Q049,4,7
C608,2,2
Q812,0,2
M8954,2,2
Q433,7,26
Z941,1,52
L630,2,7
M4689,1,2
M1224,18,19
R252,166,463
R490,768,1157
M7785,1,2
Q100,15,25
C098,1,3
R653,0,4
Q799,0,2
S301,60,135
M8647,10,11
E136,0,3
T182,12,19
E261,0,3
F078,1,2
Y190,0,1
I441,235,537
O358,71,100
D354,1,3
W308,0,2
R418,163,543
S9240,27,47
I369,2,4
T172,243,244
D099,5,15
I745,151,214
X589,0,81
M2598,5,9
K401,5,6
M9419,2,4
O329,27,36
F115,1,2
R18,520,1917
S198,27,35
F013,3,3
M4356,0,1
B550,0,1
N323,290,976
D045,87,268
G467,2,37
O702,104,225
M4656,0,4
S642,46,85
H506,9,12
M7718,1,2
T472,1,13
M7268,5,9
Z972,0,38
T08,4,10
M2533,21,28
W0129,0,2
Z386,0,1
M1988,5,10
S617,89,134
S222,61,74
L303,24,30
M6504,9,9
S5261,47,49
T852,160,193
I10,1275,95599
M808,2,4
I309,143,190
Z906,0,344
M7939,0,6
C518,2,2
J019,113,155
M4814,2,2
M4362,6,48
S146,1,3
Y0898,0,1
M0829,1,8
Q338,1,3
V404,0,1
S6241,1,2
K061,29,37
N906,104,136
M8210,0,59
H524,5,13
M7159,1,1
C488,1,1
J339,1755,2187
M339,3,10
O222,1,6
M7976,0,2
Y547,0,18
S942,0,2
Z461,20,27
S343,2,4
T456,1,5
S707,7,9
M221,38,52
M4816,2,3
K270,5,6
Y402,0,3
N640,7,7
G409,893,4048
W576,0,1
